モデル名,処理段階,平均値[ms],分散値[ms],最大値[ms],最小値[ms]
yolo26n-pose,prepocesstime（前処理段階）,1.106,0.044,2.899,0.849
yolo26s-pose,prepocesstime（前処理段階）,1.113,0.046,2.764,0.835
yolo26m-pose,prepocesstime（前処理段階）,1.119,0.049,6.242,0.861
yolo26l-pose,prepocesstime（前処理段階）,1.153,0.015,2.603,0.918
yolo26x-pose,prepocesstime（前処理段階）,1.162,0.011,2.748,0.894

yolo26n-pose,inferencetime（推論段階）,8.389,0.406,44.91,7.472
yolo26s-pose,inferencetime（推論段階）,9.968,0.05,34.06,9.803
yolo26m-pose,inferencetime（推論段階）,15.678,0.426,47.23,13.551
yolo26l-pose,inferencetime（推論段階）,17.022,0.111,24.687,16.714
yolo26x-pose,inferencetime（推論段階）,31.091,0.025,43.895,30.429

yolo26n-pose,postprocesstime（後処理段階）,0.378,0.005,9.603,0.249
yolo26s-pose,postprocesstime（後処理段階）,0.384,0.004,0.952,0.251
yolo26m-pose,postprocesstime（後処理段階）,0.395,0.004,1.811,0.256
yolo26l-pose,postprocesstime（後処理段階）,0.419,0.002,0.776,0.27
yolo26x-pose,postprocesstime（後処理段階）,0.452,0.002,2.041,0.301

yolo26n-pose,calculationtime（計算段階）,0.271,0.011,0.863,0.003
yolo26s-pose,calculationtime（計算段階）,0.262,0.009,0.884,0.002
yolo26m-pose,calculationtime（計算段階）,0.244,0.009,1.483,0.002
yolo26l-pose,calculationtime（計算段階）,0.263,0.008,0.764,0.003
yolo26x-pose,calculationtime（計算段階）,0.269,0.008,0.615,0.003

yolo26n-pose,passtime（合計）,10.145,0.47,56.096,8.793
yolo26s-pose,passtime（合計）,11.728,0.116,36.063,11.023
yolo26m-pose,passtime（合計）,17.437,0.649,56.729,14.793
yolo26l-pose,passtime（合計）,18.857,0.174,27.279,18.068
yolo26x-pose,passtime（合計）,32.974,0.038,45.729,31.98
