モデル名,検出した人数,"向きの回数(Front, Behind, Left, Right, None)",向きの割合[%],ファイルパス
yolo26l-pose,1,"{1: [352, 34, 0, 115, 0]}","{1: [0.703, 0.068, 0.0, 0.23, 0.0]}",data_yolo/移動/路側/距離5m/奥/確認横断/resize.mov
yolo26l-pose,1,"{12: [247, 122, 0, 140, 0]}","{12: [0.485, 0.24, 0.0, 0.275, 0.0]}",data_yolo/移動/路側/距離10m/奥/確認横断/resize.mov
yolo26l-pose,2,"{14: [0, 439, 0, 0, 3], 15: [0, 1, 0, 0, 0]}","{14: [0.0, 0.993, 0.0, 0.0, 0.007], 15: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離5m/手前/素通り/resize.mov
yolo26l-pose,1,"{19: [29, 100, 0, 85, 3]}","{19: [0.134, 0.461, 0.0, 0.392, 0.014]}",data_yolo/移動/車載1/距離5m/手前/確認横断/resize.mov
yolo26l-pose,1,"{23: [0, 598, 1, 0, 10]}","{23: [0.0, 0.982, 0.002, 0.0, 0.016]}",data_yolo/移動/車載1/距離5m/手前/停止素通り/resize.mov
yolo26l-pose,1,"{28: [0, 84, 0, 24, 3]}","{28: [0.0, 0.757, 0.0, 0.216, 0.027]}",data_yolo/移動/車載1/距離5m/手前/走行横断/resize.mov
yolo26l-pose,4,"{32: [594, 0, 0, 0, 0], 33: [11, 0, 0, 0, 0], 36: [3, 0, 0, 0, 0], 37: [13, 0, 0, 0, 0]}","{32: [1.0, 0.0, 0.0, 0.0, 0.0], 33: [1.0, 0.0, 0.0, 0.0, 0.0], 36: [1.0, 0.0, 0.0, 0.0, 0.0], 37: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離5m/奥/素通り/resize.mov
yolo26l-pose,1,"{40: [651, 104, 0, 18, 0]}","{40: [0.842, 0.135, 0.0, 0.023, 0.0]}",data_yolo/移動/車載1/距離5m/奥/確認横断/resize.mov
yolo26l-pose,1,"{57: [395, 199, 0, 24, 0]}","{57: [0.639, 0.322, 0.0, 0.039, 0.0]}",data_yolo/移動/車載1/距離5m/奥/不確認横断/resize.mov
yolo26l-pose,1,"{66: [633, 0, 7, 0, 0]}","{66: [0.989, 0.0, 0.011, 0.0, 0.0]}",data_yolo/移動/車載1/距離5m/奥/停止素通り/resize.mov
yolo26l-pose,1,"{68: [232, 23, 0, 6, 0]}","{68: [0.889, 0.088, 0.0, 0.023, 0.0]}",data_yolo/移動/車載1/距離5m/奥/走行横断/resize.mov
yolo26l-pose,1,"{69: [0, 590, 11, 0, 11]}","{69: [0.0, 0.964, 0.018, 0.0, 0.018]}",data_yolo/移動/車載1/距離15m/手前/素通り/resize.mov
yolo26l-pose,1,"{71: [38, 697, 0, 100, 1]}","{71: [0.045, 0.834, 0.0, 0.12, 0.001]}",data_yolo/移動/車載1/距離15m/手前/確認横断/resize.mov
yolo26l-pose,1,"{73: [50, 571, 20, 90, 8]}","{73: [0.068, 0.773, 0.027, 0.122, 0.011]}",data_yolo/移動/車載1/距離15m/手前/不確認横断/resize.mov
yolo26l-pose,1,"{85: [0, 682, 1, 0, 13]}","{85: [0.0, 0.98, 0.001, 0.0, 0.019]}",data_yolo/移動/車載1/距離15m/手前/停止素通り/resize.mov
yolo26l-pose,2,"{89: [0, 307, 0, 0, 2], 93: [0, 11, 0, 0, 0]}","{89: [0.0, 0.994, 0.0, 0.0, 0.006], 93: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離15m/手前/走行横断/resize.mov
yolo26l-pose,1,"{97: [0, 578, 14, 0, 7]}","{97: [0.0, 0.965, 0.023, 0.0, 0.012]}",data_yolo/移動/車載1/距離10m/手前/素通り/resize.mov
yolo26l-pose,1,"{101: [30, 482, 12, 34, 2]}","{101: [0.054, 0.861, 0.021, 0.061, 0.004]}",data_yolo/移動/車載1/距離10m/手前/確認横断/resize.mov
yolo26l-pose,1,"{104: [16, 496, 12, 25, 0]}","{104: [0.029, 0.903, 0.022, 0.046, 0.0]}",data_yolo/移動/車載1/距離10m/手前/不確認横断/resize.mov
yolo26l-pose,2,"{110: [0, 743, 1, 0, 0], 114: [0, 1, 0, 0, 0]}","{110: [0.0, 0.999, 0.001, 0.0, 0.0], 114: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離10m/手前/停止素通り/resize.mov
yolo26l-pose,1,"{118: [0, 254, 8, 0, 0]}","{118: [0.0, 0.969, 0.031, 0.0, 0.0]}",data_yolo/移動/車載1/距離10m/手前/走行横断/resize.mov
yolo26l-pose,1,"{124: [545, 0, 9, 0, 0]}","{124: [0.984, 0.0, 0.016, 0.0, 0.0]}",data_yolo/移動/車載1/距離10m/奥/素通り/resize.mov
