モデル名,検出した人数,"向きの回数(Front, Behind, Left, Right, None)",向きの割合[%],ファイルパス
yolo26l-pose,1,"{1: [291, 23, 0, 11, 176]}","{1: [0.581, 0.046, 0.0, 0.022, 0.351]}",data_yolo/移動/路側/距離5m/奥/確認横断/resize.mov
yolo26l-pose,1,"{12: [481, 23, 0, 5, 0]}","{12: [0.945, 0.045, 0.0, 0.01, 0.0]}",data_yolo/移動/路側/距離10m/奥/確認横断/resize.mov
yolo26l-pose,2,"{14: [0, 438, 0, 0, 4], 15: [0, 0, 0, 0, 1]}","{14: [0.0, 0.991, 0.0, 0.0, 0.009], 15: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/移動/車載1/距離5m/手前/素通り/resize.mov
yolo26l-pose,1,"{19: [0, 16, 0, 0, 201]}","{19: [0.0, 0.074, 0.0, 0.0, 0.926]}",data_yolo/移動/車載1/距離5m/手前/確認横断/resize.mov
yolo26l-pose,1,"{23: [0, 592, 0, 0, 17]}","{23: [0.0, 0.972, 0.0, 0.0, 0.028]}",data_yolo/移動/車載1/距離5m/手前/停止素通り/resize.mov
yolo26l-pose,1,"{28: [0, 31, 0, 0, 80]}","{28: [0.0, 0.279, 0.0, 0.0, 0.721]}",data_yolo/移動/車載1/距離5m/手前/走行横断/resize.mov
yolo26l-pose,4,"{32: [594, 0, 0, 0, 0], 33: [0, 0, 0, 0, 11], 36: [0, 0, 0, 0, 3], 37: [0, 0, 0, 0, 13]}","{32: [1.0, 0.0, 0.0, 0.0, 0.0], 33: [0.0, 0.0, 0.0, 0.0, 1.0], 36: [0.0, 0.0, 0.0, 0.0, 1.0], 37: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/移動/車載1/距離5m/奥/素通り/resize.mov
yolo26l-pose,1,"{40: [773, 0, 0, 0, 0]}","{40: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離5m/奥/確認横断/resize.mov
yolo26l-pose,1,"{57: [583, 34, 0, 1, 0]}","{57: [0.943, 0.055, 0.0, 0.002, 0.0]}",data_yolo/移動/車載1/距離5m/奥/不確認横断/resize.mov
yolo26l-pose,1,"{66: [640, 0, 0, 0, 0]}","{66: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離5m/奥/停止素通り/resize.mov
yolo26l-pose,1,"{68: [261, 0, 0, 0, 0]}","{68: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離5m/奥/走行横断/resize.mov
yolo26l-pose,1,"{69: [0, 599, 0, 0, 13]}","{69: [0.0, 0.979, 0.0, 0.0, 0.021]}",data_yolo/移動/車載1/距離15m/手前/素通り/resize.mov
yolo26l-pose,1,"{71: [0, 831, 0, 0, 5]}","{71: [0.0, 0.994, 0.0, 0.0, 0.006]}",data_yolo/移動/車載1/距離15m/手前/確認横断/resize.mov
yolo26l-pose,1,"{73: [0, 717, 9, 0, 13]}","{73: [0.0, 0.97, 0.012, 0.0, 0.018]}",data_yolo/移動/車載1/距離15m/手前/不確認横断/resize.mov
yolo26l-pose,1,"{85: [0, 670, 0, 0, 26]}","{85: [0.0, 0.963, 0.0, 0.0, 0.037]}",data_yolo/移動/車載1/距離15m/手前/停止素通り/resize.mov
yolo26l-pose,2,"{89: [0, 308, 0, 0, 1], 93: [0, 11, 0, 0, 0]}","{89: [0.0, 0.997, 0.0, 0.0, 0.003], 93: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離15m/手前/走行横断/resize.mov
yolo26l-pose,1,"{97: [0, 579, 10, 0, 10]}","{97: [0.0, 0.967, 0.017, 0.0, 0.017]}",data_yolo/移動/車載1/距離10m/手前/素通り/resize.mov
yolo26l-pose,1,"{101: [0, 544, 13, 0, 3]}","{101: [0.0, 0.971, 0.023, 0.0, 0.005]}",data_yolo/移動/車載1/距離10m/手前/確認横断/resize.mov
yolo26l-pose,1,"{104: [0, 539, 0, 0, 10]}","{104: [0.0, 0.982, 0.0, 0.0, 0.018]}",data_yolo/移動/車載1/距離10m/手前/不確認横断/resize.mov
yolo26l-pose,2,"{110: [0, 735, 0, 0, 9], 114: [0, 1, 0, 0, 0]}","{110: [0.0, 0.988, 0.0, 0.0, 0.012], 114: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離10m/手前/停止素通り/resize.mov
yolo26l-pose,1,"{118: [0, 252, 0, 0, 10]}","{118: [0.0, 0.962, 0.0, 0.0, 0.038]}",data_yolo/移動/車載1/距離10m/手前/走行横断/resize.mov
yolo26l-pose,1,"{124: [554, 0, 0, 0, 0]}","{124: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離10m/奥/素通り/resize.mov
yolo26l-pose,1,"{129: [564, 28, 0, 0, 0]}","{129: [0.953, 0.047, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離10m/奥/確認横断/resize.mov
yolo26l-pose,1,"{135: [543, 12, 0, 4, 0]}","{135: [0.971, 0.021, 0.0, 0.007, 0.0]}",data_yolo/移動/車載1/距離10m/奥/不確認横断/resize.mov
yolo26l-pose,1,"{144: [637, 0, 0, 0, 0]}","{144: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離10m/奥/停止素通り/resize.mov
yolo26l-pose,1,"{148: [249, 22, 0, 1, 0]}","{148: [0.915, 0.081, 0.0, 0.004, 0.0]}",data_yolo/移動/車載1/距離10m/奥/走行横断/resize.mov
yolo26l-pose,1,"{154: [0, 426, 0, 0, 1]}","{154: [0.0, 0.998, 0.0, 0.0, 0.002]}",data_yolo/移動/車載2/距離5m/手前/素通り/resize.mov
yolo26l-pose,1,"{157: [0, 40, 0, 0, 182]}","{157: [0.0, 0.18, 0.0, 0.0, 0.82]}",data_yolo/移動/車載2/距離5m/手前/確認横断/resize.mov
yolo26l-pose,2,"{161: [0, 208, 0, 0, 27], 164: [0, 0, 0, 0, 1]}","{161: [0.0, 0.885, 0.0, 0.0, 0.115], 164: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/移動/車載2/距離5m/手前/不確認横断/resize.mov
yolo26l-pose,1,"{167: [0, 499, 0, 0, 15]}","{167: [0.0, 0.971, 0.0, 0.0, 0.029]}",data_yolo/移動/車載2/距離5m/手前/停止素通り/resize.mov
yolo26l-pose,1,"{172: [0, 21, 0, 0, 90]}","{172: [0.0, 0.189, 0.0, 0.0, 0.811]}",data_yolo/移動/車載2/距離5m/手前/走行横断/resize.mov
yolo26l-pose,2,"{174: [471, 0, 0, 0, 0], 178: [0, 1, 0, 0, 0]}","{174: [1.0, 0.0, 0.0, 0.0, 0.0], 178: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載2/距離5m/奥/素通り/resize.mov
yolo26l-pose,1,"{179: [493, 0, 0, 0, 0]}","{179: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載2/距離5m/奥/確認横断/resize.mov
yolo26l-pose,2,"{191: [522, 31, 0, 0, 0], 193: [0, 0, 0, 0, 1]}","{191: [0.944, 0.056, 0.0, 0.0, 0.0], 193: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/移動/車載2/距離5m/奥/不確認横断/resize.mov
yolo26l-pose,2,"{195: [555, 15, 1, 1, 0], 197: [2, 0, 0, 0, 0]}","{195: [0.97, 0.026, 0.002, 0.002, 0.0], 197: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載2/距離5m/奥/停止素通り/resize.mov
yolo26l-pose,1,"{199: [279, 0, 0, 0, 0]}","{199: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載2/距離5m/奥/走行横断/resize.mov
yolo26l-pose,1,"{201: [10, 590, 0, 1, 9]}","{201: [0.016, 0.967, 0.0, 0.002, 0.015]}",data_yolo/移動/車載2/距離10m/手前/素通り/resize.mov
yolo26l-pose,1,"{204: [8, 578, 0, 1, 8]}","{204: [0.013, 0.971, 0.0, 0.002, 0.013]}",data_yolo/移動/車載2/距離10m/手前/確認横断/resize.mov
