モデル名,検出した人数,"向きの回数(Front, Behind, Left, Right, None)",向きの割合[%],ファイルパス
yolo26m-pose,1,"{1: [326, 36, 0, 137, 0]}","{1: [0.653, 0.072, 0.0, 0.275, 0.0]}",data_yolo/移動/路側/距離5m/奥/確認横断/resize.mov
yolo26m-pose,1,"{12: [323, 171, 0, 95, 0]}","{12: [0.548, 0.29, 0.0, 0.161, 0.0]}",data_yolo/移動/路側/距離10m/奥/確認横断/resize.mov
yolo26m-pose,1,"{17: [0, 437, 0, 0, 4]}","{17: [0.0, 0.991, 0.0, 0.0, 0.009]}",data_yolo/移動/車載1/距離5m/手前/素通り/resize.mov
yolo26m-pose,1,"{21: [3, 124, 0, 84, 2]}","{21: [0.014, 0.582, 0.0, 0.394, 0.009]}",data_yolo/移動/車載1/距離5m/手前/確認横断/resize.mov
yolo26m-pose,2,"{25: [0, 593, 7, 0, 9], 28: [0, 10, 0, 0, 0]}","{25: [0.0, 0.974, 0.011, 0.0, 0.015], 28: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離5m/手前/停止素通り/resize.mov
yolo26m-pose,2,"{32: [0, 93, 0, 11, 2], 34: [0, 0, 0, 0, 1]}","{32: [0.0, 0.877, 0.0, 0.104, 0.019], 34: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/移動/車載1/距離5m/手前/走行横断/resize.mov
yolo26m-pose,1,"{37: [598, 0, 0, 0, 0]}","{37: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離5m/奥/素通り/resize.mov
yolo26m-pose,1,"{40: [647, 114, 0, 13, 0]}","{40: [0.836, 0.147, 0.0, 0.017, 0.0]}",data_yolo/移動/車載1/距離5m/奥/確認横断/resize.mov
yolo26m-pose,1,"{50: [371, 212, 0, 20, 0]}","{50: [0.615, 0.352, 0.0, 0.033, 0.0]}",data_yolo/移動/車載1/距離5m/奥/不確認横断/resize.mov
yolo26m-pose,1,"{56: [609, 0, 0, 0, 0]}","{56: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離5m/奥/停止素通り/resize.mov
yolo26m-pose,1,"{64: [227, 26, 0, 2, 0]}","{64: [0.89, 0.102, 0.0, 0.008, 0.0]}",data_yolo/移動/車載1/距離5m/奥/走行横断/resize.mov
yolo26m-pose,1,"{68: [0, 578, 2, 0, 8]}","{68: [0.0, 0.983, 0.003, 0.0, 0.014]}",data_yolo/移動/車載1/距離15m/手前/素通り/resize.mov
yolo26m-pose,1,"{73: [33, 747, 0, 39, 2]}","{73: [0.04, 0.91, 0.0, 0.048, 0.002]}",data_yolo/移動/車載1/距離15m/手前/確認横断/resize.mov
yolo26m-pose,3,"{80: [12, 585, 10, 63, 10], 82: [0, 1, 0, 0, 0], 87: [0, 23, 0, 0, 0]}","{80: [0.018, 0.86, 0.015, 0.093, 0.015], 82: [0.0, 1.0, 0.0, 0.0, 0.0], 87: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離15m/手前/不確認横断/resize.mov
yolo26m-pose,2,"{89: [0, 662, 0, 0, 26], 91: [9, 0, 0, 0, 0]}","{89: [0.0, 0.962, 0.0, 0.0, 0.038], 91: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離15m/手前/停止素通り/resize.mov
yolo26m-pose,1,"{92: [0, 324, 0, 1, 0]}","{92: [0.0, 0.997, 0.0, 0.003, 0.0]}",data_yolo/移動/車載1/距離15m/手前/走行横断/resize.mov
yolo26m-pose,3,"{101: [0, 599, 13, 0, 9], 103: [0, 0, 0, 0, 1], 104: [0, 1, 0, 0, 0]}","{101: [0.0, 0.965, 0.021, 0.0, 0.014], 103: [0.0, 0.0, 0.0, 0.0, 1.0], 104: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離10m/手前/素通り/resize.mov
yolo26m-pose,1,"{110: [9, 502, 0, 50, 0]}","{110: [0.016, 0.895, 0.0, 0.089, 0.0]}",data_yolo/移動/車載1/距離10m/手前/確認横断/resize.mov
yolo26m-pose,1,"{112: [0, 513, 0, 37, 2]}","{112: [0.0, 0.929, 0.0, 0.067, 0.004]}",data_yolo/移動/車載1/距離10m/手前/不確認横断/resize.mov
yolo26m-pose,1,"{117: [0, 759, 0, 0, 3]}","{117: [0.0, 0.996, 0.0, 0.0, 0.004]}",data_yolo/移動/車載1/距離10m/手前/停止素通り/resize.mov
yolo26m-pose,1,"{123: [0, 242, 0, 21, 0]}","{123: [0.0, 0.92, 0.0, 0.08, 0.0]}",data_yolo/移動/車載1/距離10m/手前/走行横断/resize.mov
