モデル名,検出した人数,"向きの回数(Front, Behind, Left, Right, None)",向きの割合[%],ファイルパス
yolo26m-pose,1,"{1: [293, 48, 0, 4, 154]}","{1: [0.587, 0.096, 0.0, 0.008, 0.309]}",data_yolo/移動/路側/距離5m/奥/確認横断/resize.mov
yolo26m-pose,1,"{12: [509, 79, 0, 1, 0]}","{12: [0.864, 0.134, 0.0, 0.002, 0.0]}",data_yolo/移動/路側/距離10m/奥/確認横断/resize.mov
yolo26m-pose,1,"{17: [0, 433, 0, 0, 8]}","{17: [0.0, 0.982, 0.0, 0.0, 0.018]}",data_yolo/移動/車載1/距離5m/手前/素通り/resize.mov
yolo26m-pose,1,"{21: [0, 24, 0, 0, 189]}","{21: [0.0, 0.113, 0.0, 0.0, 0.887]}",data_yolo/移動/車載1/距離5m/手前/確認横断/resize.mov
yolo26m-pose,2,"{25: [0, 590, 0, 0, 19], 28: [0, 10, 0, 0, 0]}","{25: [0.0, 0.969, 0.0, 0.0, 0.031], 28: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離5m/手前/停止素通り/resize.mov
yolo26m-pose,2,"{32: [0, 25, 0, 0, 81], 34: [0, 0, 0, 0, 1]}","{32: [0.0, 0.236, 0.0, 0.0, 0.764], 34: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/移動/車載1/距離5m/手前/走行横断/resize.mov
yolo26m-pose,1,"{37: [598, 0, 0, 0, 0]}","{37: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離5m/奥/素通り/resize.mov
yolo26m-pose,1,"{40: [774, 0, 0, 0, 0]}","{40: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離5m/奥/確認横断/resize.mov
yolo26m-pose,1,"{50: [548, 46, 0, 9, 0]}","{50: [0.909, 0.076, 0.0, 0.015, 0.0]}",data_yolo/移動/車載1/距離5m/奥/不確認横断/resize.mov
yolo26m-pose,1,"{56: [609, 0, 0, 0, 0]}","{56: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離5m/奥/停止素通り/resize.mov
yolo26m-pose,1,"{64: [255, 0, 0, 0, 0]}","{64: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離5m/奥/走行横断/resize.mov
yolo26m-pose,1,"{68: [0, 569, 0, 0, 19]}","{68: [0.0, 0.968, 0.0, 0.0, 0.032]}",data_yolo/移動/車載1/距離15m/手前/素通り/resize.mov
yolo26m-pose,1,"{73: [0, 813, 0, 0, 8]}","{73: [0.0, 0.99, 0.0, 0.0, 0.01]}",data_yolo/移動/車載1/距離15m/手前/確認横断/resize.mov
yolo26m-pose,3,"{80: [9, 660, 0, 1, 10], 82: [0, 1, 0, 0, 0], 87: [0, 21, 0, 0, 2]}","{80: [0.013, 0.971, 0.0, 0.001, 0.015], 82: [0.0, 1.0, 0.0, 0.0, 0.0], 87: [0.0, 0.913, 0.0, 0.0, 0.087]}",data_yolo/移動/車載1/距離15m/手前/不確認横断/resize.mov
yolo26m-pose,2,"{89: [0, 662, 0, 0, 26], 91: [9, 0, 0, 0, 0]}","{89: [0.0, 0.962, 0.0, 0.0, 0.038], 91: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離15m/手前/停止素通り/resize.mov
yolo26m-pose,1,"{92: [0, 319, 0, 0, 6]}","{92: [0.0, 0.982, 0.0, 0.0, 0.018]}",data_yolo/移動/車載1/距離15m/手前/走行横断/resize.mov
yolo26m-pose,3,"{101: [0, 605, 0, 0, 16], 103: [0, 1, 0, 0, 0], 104: [0, 1, 0, 0, 0]}","{101: [0.0, 0.974, 0.0, 0.0, 0.026], 103: [0.0, 1.0, 0.0, 0.0, 0.0], 104: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離10m/手前/素通り/resize.mov
yolo26m-pose,1,"{110: [0, 544, 0, 0, 17]}","{110: [0.0, 0.97, 0.0, 0.0, 0.03]}",data_yolo/移動/車載1/距離10m/手前/確認横断/resize.mov
yolo26m-pose,1,"{112: [0, 538, 0, 0, 14]}","{112: [0.0, 0.975, 0.0, 0.0, 0.025]}",data_yolo/移動/車載1/距離10m/手前/不確認横断/resize.mov
yolo26m-pose,1,"{117: [0, 755, 0, 0, 7]}","{117: [0.0, 0.991, 0.0, 0.0, 0.009]}",data_yolo/移動/車載1/距離10m/手前/停止素通り/resize.mov
yolo26m-pose,1,"{123: [0, 254, 0, 0, 9]}","{123: [0.0, 0.966, 0.0, 0.0, 0.034]}",data_yolo/移動/車載1/距離10m/手前/走行横断/resize.mov
yolo26m-pose,1,"{133: [589, 0, 0, 0, 0]}","{133: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離10m/奥/素通り/resize.mov
yolo26m-pose,1,"{149: [582, 32, 0, 0, 0]}","{149: [0.948, 0.052, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離10m/奥/確認横断/resize.mov
yolo26m-pose,1,"{152: [591, 8, 0, 2, 0]}","{152: [0.983, 0.013, 0.0, 0.003, 0.0]}",data_yolo/移動/車載1/距離10m/奥/不確認横断/resize.mov
yolo26m-pose,1,"{158: [679, 0, 0, 0, 0]}","{158: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離10m/奥/停止素通り/resize.mov
yolo26m-pose,1,"{161: [224, 65, 1, 0, 0]}","{161: [0.772, 0.224, 0.003, 0.0, 0.0]}",data_yolo/移動/車載1/距離10m/奥/走行横断/resize.mov
yolo26m-pose,1,"{164: [0, 417, 0, 0, 10]}","{164: [0.0, 0.977, 0.0, 0.0, 0.023]}",data_yolo/移動/車載2/距離5m/手前/素通り/resize.mov
yolo26m-pose,1,"{166: [0, 34, 0, 0, 186]}","{166: [0.0, 0.155, 0.0, 0.0, 0.845]}",data_yolo/移動/車載2/距離5m/手前/確認横断/resize.mov
yolo26m-pose,1,"{171: [0, 207, 0, 0, 26]}","{171: [0.0, 0.888, 0.0, 0.0, 0.112]}",data_yolo/移動/車載2/距離5m/手前/不確認横断/resize.mov
yolo26m-pose,1,"{175: [0, 501, 0, 0, 17]}","{175: [0.0, 0.967, 0.0, 0.0, 0.033]}",data_yolo/移動/車載2/距離5m/手前/停止素通り/resize.mov
yolo26m-pose,1,"{178: [0, 17, 0, 0, 93]}","{178: [0.0, 0.155, 0.0, 0.0, 0.845]}",data_yolo/移動/車載2/距離5m/手前/走行横断/resize.mov
yolo26m-pose,1,"{180: [471, 0, 0, 0, 0]}","{180: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載2/距離5m/奥/素通り/resize.mov
yolo26m-pose,1,"{182: [493, 0, 0, 0, 0]}","{182: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載2/距離5m/奥/確認横断/resize.mov
yolo26m-pose,1,"{191: [534, 0, 0, 0, 0]}","{191: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載2/距離5m/奥/不確認横断/resize.mov
yolo26m-pose,1,"{198: [570, 0, 0, 0, 0]}","{198: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載2/距離5m/奥/停止素通り/resize.mov
yolo26m-pose,1,"{203: [279, 0, 0, 0, 0]}","{203: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載2/距離5m/奥/走行横断/resize.mov
yolo26m-pose,1,"{205: [0, 584, 0, 0, 20]}","{205: [0.0, 0.967, 0.0, 0.0, 0.033]}",data_yolo/移動/車載2/距離10m/手前/素通り/resize.mov
yolo26m-pose,1,"{209: [0, 578, 0, 0, 18]}","{209: [0.0, 0.97, 0.0, 0.0, 0.03]}",data_yolo/移動/車載2/距離10m/手前/確認横断/resize.mov
yolo26m-pose,1,"{212: [0, 554, 0, 0, 12]}","{212: [0.0, 0.979, 0.0, 0.0, 0.021]}",data_yolo/移動/車載2/距離10m/手前/不確認横断/resize.mov
yolo26m-pose,3,"{214: [0, 642, 0, 0, 17], 216: [0, 1, 0, 0, 0], 220: [0, 3, 0, 0, 0]}","{214: [0.0, 0.974, 0.0, 0.0, 0.026], 216: [0.0, 1.0, 0.0, 0.0, 0.0], 220: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載2/距離10m/手前/停止素通り/resize.mov
yolo26m-pose,1,"{222: [0, 248, 0, 0, 11]}","{222: [0.0, 0.958, 0.0, 0.0, 0.042]}",data_yolo/移動/車載2/距離10m/手前/走行横断/resize.mov
yolo26m-pose,3,"{226: [543, 0, 0, 0, 0], 228: [1, 0, 0, 0, 0], 229: [0, 0, 0, 0, 1]}","{226: [1.0, 0.0, 0.0, 0.0, 0.0], 228: [1.0, 0.0, 0.0, 0.0, 0.0], 229: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/移動/車載2/距離10m/奥/素通り/resize.mov
yolo26m-pose,2,"{237: [471, 20, 0, 0, 0], 238: [0, 0, 0, 0, 1]}","{237: [0.959, 0.041, 0.0, 0.0, 0.0], 238: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/移動/車載2/距離10m/奥/確認横断/resize.mov
yolo26m-pose,1,"{244: [483, 0, 0, 0, 0]}","{244: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載2/距離10m/奥/不確認横断/resize.mov
yolo26m-pose,1,"{249: [641, 0, 0, 0, 0]}","{249: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載2/距離10m/奥/停止素通り/resize.mov
yolo26m-pose,1,"{252: [253, 13, 0, 0, 0]}","{252: [0.951, 0.049, 0.0, 0.0, 0.0]}",data_yolo/移動/車載2/距離10m/奥/走行横断/resize.mov

yolo26m-pose,1,"{256: [0, 150, 0, 0, 0]}","{256: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/停止/路側/距離5m/Behind/1回目/resize.mov
yolo26m-pose,1,"{256: [0, 246, 0, 0, 0]}","{256: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/停止/路側/距離5m/Behind/3回目/resize.mov
yolo26m-pose,1,"{256: [0, 240, 0, 0, 0]}","{256: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/停止/路側/距離5m/Behind/2回目/resize.mov
yolo26m-pose,1,"{257: [0, 0, 0, 0, 162]}","{257: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/停止/路側/距離5m/Right/1回目/resize.mov
yolo26m-pose,1,"{257: [0, 0, 0, 0, 181]}","{257: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/停止/路側/距離5m/Right/3回目/resize.mov
yolo26m-pose,1,"{257: [0, 0, 0, 0, 178]}","{257: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/停止/路側/距離5m/Right/2回目/resize.mov
yolo26m-pose,1,"{257: [0, 0, 0, 0, 135]}","{257: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/停止/路側/距離5m/Left/1回目/resize.mov
yolo26m-pose,1,"{257: [0, 0, 0, 0, 203]}","{257: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/停止/路側/距離5m/Left/3回目/resize.mov
yolo26m-pose,2,"{257: [0, 0, 0, 0, 199], 270: [0, 0, 0, 0, 1]}","{257: [0.0, 0.0, 0.0, 0.0, 1.0], 270: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/停止/路側/距離5m/Left/2回目/resize.mov
yolo26m-pose,1,"{257: [0, 0, 0, 0, 241]}","{257: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/停止/路側/距離5m/RightandCheck/1回目/resize.mov
yolo26m-pose,1,"{257: [0, 0, 0, 0, 254]}","{257: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/停止/路側/距離5m/RightandCheck/3回目/resize.mov
yolo26m-pose,1,"{257: [0, 0, 0, 0, 229]}","{257: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/停止/路側/距離5m/RightandCheck/2回目/resize.mov
yolo26m-pose,1,"{257: [145, 0, 0, 0, 0]}","{257: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/停止/路側/距離5m/Front/1回目/resize.mov
yolo26m-pose,1,"{257: [199, 0, 0, 0, 0]}","{257: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/停止/路側/距離5m/Front/3回目/resize.mov
yolo26m-pose,1,"{257: [222, 0, 0, 0, 0]}","{257: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/停止/路側/距離5m/Front/2回目/resize.mov
yolo26m-pose,1,"{277: [0, 166, 0, 0, 0]}","{277: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/停止/路側/距離10m/Behind/1回目/resize.mov
yolo26m-pose,1,"{277: [0, 169, 0, 0, 0]}","{277: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/停止/路側/距離10m/Behind/3回目/resize.mov
yolo26m-pose,1,"{277: [0, 233, 0, 0, 0]}","{277: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/停止/路側/距離10m/Behind/2回目/resize.mov
yolo26m-pose,1,"{277: [0, 148, 0, 0, 0]}","{277: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/停止/路側/距離10m/Right/1回目/resize.mov
yolo26m-pose,1,"{277: [0, 104, 0, 0, 78]}","{277: [0.0, 0.571, 0.0, 0.0, 0.429]}",data_yolo/停止/路側/距離10m/Right/3回目/resize.mov
yolo26m-pose,1,"{277: [0, 0, 0, 0, 195]}","{277: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/停止/路側/距離10m/Right/2回目/resize.mov
yolo26m-pose,1,"{277: [0, 0, 0, 0, 103]}","{277: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/停止/路側/距離10m/Left/1回目/resize.mov
yolo26m-pose,1,"{277: [0, 0, 0, 0, 225]}","{277: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/停止/路側/距離10m/Left/3回目/resize.mov
