モデル名,フレーム数,FPS[/s],動画時間[s],処理時間[s],1フレームあたりの処理時間[ms],検出した人数,ファイルパス
yolo26m-pose,536,57.883,9.26,9.115,17.006,1,data_yolo/移動/路側/距離5m/奥/確認横断/resize.mov
yolo26m-pose,666,59.636,11.168,11.548,17.339,1,data_yolo/移動/路側/距離10m/奥/確認横断/resize.mov
yolo26m-pose,482,57.672,8.358,8.207,17.027,1,data_yolo/移動/車載1/距離5m/手前/素通り/resize.mov
yolo26m-pose,427,56.825,7.514,6.924,16.215,1,data_yolo/移動/車載1/距離5m/手前/確認横断/resize.mov
yolo26m-pose,641,57.882,11.074,10.95,17.082,2,data_yolo/移動/車載1/距離5m/手前/停止素通り/resize.mov
yolo26m-pose,144,51.807,2.78,2.387,16.573,2,data_yolo/移動/車載1/距離5m/手前/走行横断/resize.mov
yolo26m-pose,615,59.97,10.255,10.782,17.531,1,data_yolo/移動/車載1/距離5m/奥/素通り/resize.mov
yolo26m-pose,821,59.76,13.738,14.397,17.536,1,data_yolo/移動/車載1/距離5m/奥/確認横断/resize.mov
yolo26m-pose,688,60.0,11.467,11.878,17.264,1,data_yolo/移動/車載1/距離5m/奥/不確認横断/resize.mov
yolo26m-pose,670,59.149,11.327,11.759,17.551,1,data_yolo/移動/車載1/距離5m/奥/停止素通り/resize.mov
yolo26m-pose,297,56.953,5.215,5.039,16.966,1,data_yolo/移動/車載1/距離5m/奥/走行横断/resize.mov
yolo26m-pose,780,59.074,13.204,13.356,17.123,1,data_yolo/移動/車載1/距離15m/手前/素通り/resize.mov
yolo26m-pose,860,58.23,14.769,15.058,17.509,1,data_yolo/移動/車載1/距離15m/手前/確認横断/resize.mov
yolo26m-pose,775,59.437,13.039,13.643,17.603,3,data_yolo/移動/車載1/距離15m/手前/不確認横断/resize.mov
yolo26m-pose,962,59.455,16.18,16.453,17.103,2,data_yolo/移動/車載1/距離15m/手前/停止素通り/resize.mov
yolo26m-pose,345,58.012,5.947,5.969,17.301,1,data_yolo/移動/車載1/距離15m/手前/走行横断/resize.mov
yolo26m-pose,898,59.98,14.972,15.281,17.016,3,data_yolo/移動/車載1/距離10m/手前/素通り/resize.mov
yolo26m-pose,604,59.49,10.153,10.5,17.385,1,data_yolo/移動/車載1/距離10m/手前/確認横断/resize.mov
yolo26m-pose,578,58.699,9.847,10.118,17.506,1,data_yolo/移動/車載1/距離10m/手前/不確認横断/resize.mov
yolo26m-pose,961,58.453,16.441,16.506,17.176,1,data_yolo/移動/車載1/距離10m/手前/停止素通り/resize.mov
yolo26m-pose,285,58.654,4.859,4.925,17.281,1,data_yolo/移動/車載1/距離10m/手前/走行横断/resize.mov
yolo26m-pose,664,58.177,11.413,11.578,17.437,1,data_yolo/移動/車載1/距離10m/奥/素通り/resize.mov
yolo26m-pose,702,58.06,12.091,12.331,17.565,1,data_yolo/移動/車載1/距離10m/奥/確認横断/resize.mov
yolo26m-pose,682,58.752,11.608,11.947,17.518,1,data_yolo/移動/車載1/距離10m/奥/不確認横断/resize.mov
yolo26m-pose,761,58.687,12.967,13.36,17.556,1,data_yolo/移動/車載1/距離10m/奥/停止素通り/resize.mov
yolo26m-pose,358,57.085,6.271,6.161,17.209,1,data_yolo/移動/車載1/距離10m/奥/走行横断/resize.mov
yolo26m-pose,437,58.085,7.523,7.716,17.658,1,data_yolo/移動/車載2/距離5m/手前/素通り/resize.mov
yolo26m-pose,255,58.207,4.381,4.465,17.509,1,data_yolo/移動/車載2/距離5m/手前/確認横断/resize.mov
yolo26m-pose,263,55.664,4.725,4.511,17.153,1,data_yolo/移動/車載2/距離5m/手前/不確認横断/resize.mov
yolo26m-pose,671,59.973,11.188,11.405,16.997,1,data_yolo/移動/車載2/距離5m/手前/停止素通り/resize.mov
yolo26m-pose,142,54.14,2.623,2.386,16.803,1,data_yolo/移動/車載2/距離5m/手前/走行横断/resize.mov
yolo26m-pose,487,59.975,8.12,8.605,17.669,1,data_yolo/移動/車載2/距離5m/奥/素通り/resize.mov
