モデル名,検出した人数,"向きの回数(Front, Behind, Left, Right, None)",向きの割合[%],ファイルパス
yolo26n-pose,7,"{1: [313, 74, 0, 32, 0], 4: [2, 0, 0, 0, 0], 5: [2, 0, 0, 0, 0], 7: [5, 0, 0, 0, 0], 11: [2, 0, 0, 0, 0], 16: [6, 0, 0, 0, 0], 18: [4, 0, 0, 1, 0]}","{1: [0.747, 0.177, 0.0, 0.076, 0.0], 4: [1.0, 0.0, 0.0, 0.0, 0.0], 5: [1.0, 0.0, 0.0, 0.0, 0.0], 7: [1.0, 0.0, 0.0, 0.0, 0.0], 11: [1.0, 0.0, 0.0, 0.0, 0.0], 16: [1.0, 0.0, 0.0, 0.0, 0.0], 18: [0.8, 0.0, 0.0, 0.2, 0.0]}",data_yolo/移動/路側/距離5m/奥/確認横断/resize.mov
yolo26n-pose,1,"{28: [305, 198, 0, 34, 0]}","{28: [0.568, 0.369, 0.0, 0.063, 0.0]}",data_yolo/移動/路側/距離10m/奥/確認横断/resize.mov
yolo26n-pose,2,"{33: [0, 441, 0, 0, 0], 34: [0, 1, 0, 0, 0]}","{33: [0.0, 1.0, 0.0, 0.0, 0.0], 34: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離5m/手前/素通り/resize.mov
yolo26n-pose,1,"{36: [23, 115, 0, 74, 2]}","{36: [0.107, 0.537, 0.0, 0.346, 0.009]}",data_yolo/移動/車載1/距離5m/手前/確認横断/resize.mov
yolo26n-pose,3,"{41: [0, 597, 0, 0, 4], 42: [0, 7, 0, 0, 0], 43: [0, 3, 0, 0, 0]}","{41: [0.0, 0.993, 0.0, 0.0, 0.007], 42: [0.0, 1.0, 0.0, 0.0, 0.0], 43: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離5m/手前/停止素通り/resize.mov
yolo26n-pose,2,"{45: [0, 81, 0, 25, 1], 47: [0, 0, 0, 0, 4]}","{45: [0.0, 0.757, 0.0, 0.234, 0.009], 47: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/移動/車載1/距離5m/手前/走行横断/resize.mov
yolo26n-pose,2,"{48: [594, 0, 0, 0, 0], 52: [2, 0, 0, 0, 0]}","{48: [1.0, 0.0, 0.0, 0.0, 0.0], 52: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離5m/奥/素通り/resize.mov
yolo26n-pose,2,"{53: [680, 84, 0, 33, 0], 55: [4, 0, 0, 0, 0]}","{53: [0.853, 0.105, 0.0, 0.041, 0.0], 55: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離5m/奥/確認横断/resize.mov
yolo26n-pose,7,"{65: [444, 212, 0, 4, 0], 67: [4, 0, 0, 0, 0], 68: [3, 0, 0, 0, 0], 69: [1, 0, 0, 0, 0], 76: [0, 3, 0, 0, 0], 79: [0, 1, 0, 0, 0], 84: [0, 1, 0, 0, 0]}","{65: [0.673, 0.321, 0.0, 0.006, 0.0], 67: [1.0, 0.0, 0.0, 0.0, 0.0], 68: [1.0, 0.0, 0.0, 0.0, 0.0], 69: [1.0, 0.0, 0.0, 0.0, 0.0], 76: [0.0, 1.0, 0.0, 0.0, 0.0], 79: [0.0, 1.0, 0.0, 0.0, 0.0], 84: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離5m/奥/不確認横断/resize.mov
yolo26n-pose,2,"{86: [640, 0, 3, 0, 0], 89: [1, 0, 0, 0, 0]}","{86: [0.995, 0.0, 0.005, 0.0, 0.0], 89: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離5m/奥/停止素通り/resize.mov
yolo26n-pose,3,"{94: [239, 19, 0, 6, 0], 95: [2, 0, 0, 0, 0], 96: [1, 0, 0, 0, 0]}","{94: [0.905, 0.072, 0.0, 0.023, 0.0], 95: [1.0, 0.0, 0.0, 0.0, 0.0], 96: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離5m/奥/走行横断/resize.mov
yolo26n-pose,3,"{98: [0, 633, 23, 0, 4], 99: [0, 1, 0, 0, 0], 101: [0, 3, 0, 0, 0]}","{98: [0.0, 0.959, 0.035, 0.0, 0.006], 99: [0.0, 1.0, 0.0, 0.0, 0.0], 101: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離15m/手前/素通り/resize.mov
yolo26n-pose,4,"{103: [168, 564, 10, 55, 0], 106: [0, 5, 0, 0, 0], 108: [0, 1, 0, 0, 0], 109: [0, 2, 0, 0, 0]}","{103: [0.211, 0.708, 0.013, 0.069, 0.0], 106: [0.0, 1.0, 0.0, 0.0, 0.0], 108: [0.0, 1.0, 0.0, 0.0, 0.0], 109: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離15m/手前/確認横断/resize.mov
yolo26n-pose,2,"{115: [166, 441, 24, 36, 6], 121: [0, 22, 0, 0, 0]}","{115: [0.247, 0.655, 0.036, 0.053, 0.009], 121: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離15m/手前/不確認横断/resize.mov
yolo26n-pose,2,"{125: [0, 754, 19, 0, 5], 127: [0, 4, 0, 0, 0]}","{125: [0.0, 0.969, 0.024, 0.0, 0.006], 127: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離15m/手前/停止素通り/resize.mov
yolo26n-pose,1,"{132: [16, 251, 0, 11, 3]}","{132: [0.057, 0.893, 0.0, 0.039, 0.011]}",data_yolo/移動/車載1/距離15m/手前/走行横断/resize.mov
yolo26n-pose,5,"{146: [0, 662, 14, 0, 11], 148: [0, 2, 0, 0, 0], 149: [0, 4, 0, 0, 0], 151: [0, 6, 0, 0, 0], 154: [0, 1, 0, 0, 0]}","{146: [0.0, 0.964, 0.02, 0.0, 0.016], 148: [0.0, 1.0, 0.0, 0.0, 0.0], 149: [0.0, 1.0, 0.0, 0.0, 0.0], 151: [0.0, 1.0, 0.0, 0.0, 0.0], 154: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離10m/手前/素通り/resize.mov
yolo26n-pose,5,"{155: [14, 515, 2, 20, 2], 158: [0, 4, 0, 0, 0], 159: [0, 1, 0, 0, 0], 165: [1, 0, 0, 0, 0], 170: [0, 1, 0, 0, 0]}","{155: [0.025, 0.931, 0.004, 0.036, 0.004], 158: [0.0, 1.0, 0.0, 0.0, 0.0], 159: [0.0, 1.0, 0.0, 0.0, 0.0], 165: [1.0, 0.0, 0.0, 0.0, 0.0], 170: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離10m/手前/確認横断/resize.mov
yolo26n-pose,5,"{171: [0, 502, 11, 30, 4], 172: [0, 3, 0, 0, 0], 173: [0, 2, 0, 0, 0], 175: [0, 1, 0, 0, 0], 181: [1, 0, 0, 0, 0]}","{171: [0.0, 0.918, 0.02, 0.055, 0.007], 172: [0.0, 1.0, 0.0, 0.0, 0.0], 173: [0.0, 1.0, 0.0, 0.0, 0.0], 175: [0.0, 1.0, 0.0, 0.0, 0.0], 181: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離10m/手前/不確認横断/resize.mov
yolo26n-pose,5,"{192: [0, 821, 13, 0, 2], 194: [0, 4, 0, 0, 0], 195: [0, 5, 0, 0, 0], 196: [0, 1, 0, 0, 0], 197: [0, 13, 0, 0, 0]}","{192: [0.0, 0.982, 0.016, 0.0, 0.002], 194: [0.0, 1.0, 0.0, 0.0, 0.0], 195: [0.0, 1.0, 0.0, 0.0, 0.0], 196: [0.0, 1.0, 0.0, 0.0, 0.0], 197: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離10m/手前/停止素通り/resize.mov
yolo26n-pose,1,"{200: [0, 257, 0, 0, 0]}","{200: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離10m/手前/走行横断/resize.mov
yolo26n-pose,4,"{221: [588, 0, 2, 0, 0], 223: [2, 0, 0, 0, 0], 227: [6, 0, 0, 0, 0], 228: [4, 0, 0, 0, 0]}","{221: [0.997, 0.0, 0.003, 0.0, 0.0], 223: [1.0, 0.0, 0.0, 0.0, 0.0], 227: [1.0, 0.0, 0.0, 0.0, 0.0], 228: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離10m/奥/素通り/resize.mov
yolo26n-pose,6,"{232: [429, 208, 0, 31, 0], 236: [0, 0, 0, 1, 0], 237: [0, 1, 0, 0, 0], 241: [0, 1, 0, 0, 0], 244: [0, 1, 0, 0, 0], 250: [0, 3, 0, 0, 0]}","{232: [0.642, 0.311, 0.0, 0.046, 0.0], 236: [0.0, 0.0, 0.0, 1.0, 0.0], 237: [0.0, 1.0, 0.0, 0.0, 0.0], 241: [0.0, 1.0, 0.0, 0.0, 0.0], 244: [0.0, 1.0, 0.0, 0.0, 0.0], 250: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離10m/奥/確認横断/resize.mov
yolo26n-pose,6,"{268: [351, 231, 0, 33, 0], 271: [0, 1, 0, 0, 0], 272: [0, 2, 0, 0, 0], 278: [0, 1, 0, 0, 0], 280: [0, 1, 0, 0, 0], 281: [0, 2, 0, 0, 0]}","{268: [0.571, 0.376, 0.0, 0.054, 0.0], 271: [0.0, 1.0, 0.0, 0.0, 0.0], 272: [0.0, 1.0, 0.0, 0.0, 0.0], 278: [0.0, 1.0, 0.0, 0.0, 0.0], 280: [0.0, 1.0, 0.0, 0.0, 0.0], 281: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離10m/奥/不確認横断/resize.mov
yolo26n-pose,2,"{291: [735, 3, 1, 1, 0], 294: [6, 0, 0, 0, 0]}","{291: [0.993, 0.004, 0.001, 0.001, 0.0], 294: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離10m/奥/停止素通り/resize.mov
yolo26n-pose,2,"{295: [156, 110, 0, 15, 0], 303: [0, 2, 0, 0, 0]}","{295: [0.555, 0.391, 0.0, 0.053, 0.0], 303: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離10m/奥/走行横断/resize.mov
yolo26n-pose,2,"{305: [0, 427, 0, 0, 0], 306: [0, 3, 0, 0, 0]}","{305: [0.0, 1.0, 0.0, 0.0, 0.0], 306: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載2/距離5m/手前/素通り/resize.mov
yolo26n-pose,1,"{307: [0, 186, 0, 31, 5]}","{307: [0.0, 0.838, 0.0, 0.14, 0.023]}",data_yolo/移動/車載2/距離5m/手前/確認横断/resize.mov
yolo26n-pose,1,"{312: [0, 179, 0, 34, 20]}","{312: [0.0, 0.768, 0.0, 0.146, 0.086]}",data_yolo/移動/車載2/距離5m/手前/不確認横断/resize.mov
yolo26n-pose,3,"{316: [0, 510, 0, 0, 6], 319: [0, 2, 0, 0, 0], 320: [0, 3, 0, 0, 0]}","{316: [0.0, 0.988, 0.0, 0.0, 0.012], 319: [0.0, 1.0, 0.0, 0.0, 0.0], 320: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載2/距離5m/手前/停止素通り/resize.mov
yolo26n-pose,1,"{322: [0, 101, 0, 8, 0]}","{322: [0.0, 0.927, 0.0, 0.073, 0.0]}",data_yolo/移動/車載2/距離5m/手前/走行横断/resize.mov
yolo26n-pose,1,"{324: [453, 17, 0, 0, 0]}","{324: [0.964, 0.036, 0.0, 0.0, 0.0]}",data_yolo/移動/車載2/距離5m/奥/素通り/resize.mov
yolo26n-pose,3,"{328: [391, 88, 0, 12, 0], 332: [1, 0, 0, 0, 0], 333: [1, 0, 0, 0, 0]}","{328: [0.796, 0.179, 0.0, 0.024, 0.0], 332: [1.0, 0.0, 0.0, 0.0, 0.0], 333: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載2/距離5m/奥/確認横断/resize.mov
yolo26n-pose,4,"{337: [454, 88, 0, 27, 0], 338: [1, 0, 0, 0, 0], 341: [4, 0, 0, 0, 0], 343: [1, 0, 0, 0, 0]}","{337: [0.798, 0.155, 0.0, 0.047, 0.0], 338: [1.0, 0.0, 0.0, 0.0, 0.0], 341: [1.0, 0.0, 0.0, 0.0, 0.0], 343: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載2/距離5m/奥/不確認横断/resize.mov
yolo26n-pose,2,"{347: [571, 0, 0, 0, 0], 351: [2, 0, 0, 0, 0]}","{347: [1.0, 0.0, 0.0, 0.0, 0.0], 351: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載2/距離5m/奥/停止素通り/resize.mov
yolo26n-pose,2,"{355: [233, 34, 0, 10, 0], 356: [1, 0, 0, 0, 0]}","{355: [0.841, 0.123, 0.0, 0.036, 0.0], 356: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載2/距離5m/奥/走行横断/resize.mov
yolo26n-pose,2,"{359: [0, 713, 18, 0, 9], 360: [0, 5, 0, 0, 0]}","{359: [0.0, 0.964, 0.024, 0.0, 0.012], 360: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載2/距離10m/手前/素通り/resize.mov
yolo26n-pose,12,"{363: [19, 499, 17, 38, 4], 364: [0, 5, 0, 0, 0], 365: [0, 4, 0, 0, 0], 366: [0, 1, 0, 0, 0], 367: [0, 2, 0, 0, 0], 370: [0, 1, 0, 0, 0], 373: [1, 0, 0, 0, 0], 374: [1, 0, 0, 0, 0], 380: [0, 3, 0, 0, 0], 383: [0, 1, 0, 0, 0], 384: [0, 1, 0, 0, 0], 385: [0, 1, 0, 0, 0]}","{363: [0.033, 0.865, 0.029, 0.066, 0.007], 364: [0.0, 1.0, 0.0, 0.0, 0.0], 365: [0.0, 1.0, 0.0, 0.0, 0.0], 366: [0.0, 1.0, 0.0, 0.0, 0.0], 367: [0.0, 1.0, 0.0, 0.0, 0.0], 370: [0.0, 1.0, 0.0, 0.0, 0.0], 373: [1.0, 0.0, 0.0, 0.0, 0.0], 374: [1.0, 0.0, 0.0, 0.0, 0.0], 380: [0.0, 1.0, 0.0, 0.0, 0.0], 383: [0.0, 1.0, 0.0, 0.0, 0.0], 384: [0.0, 1.0, 0.0, 0.0, 0.0], 385: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載2/距離10m/手前/確認横断/resize.mov
yolo26n-pose,5,"{386: [0, 501, 0, 56, 2], 391: [0, 2, 0, 0, 0], 393: [1, 0, 0, 0, 0], 398: [0, 3, 0, 0, 0], 399: [0, 1, 0, 0, 0]}","{386: [0.0, 0.896, 0.0, 0.1, 0.004], 391: [0.0, 1.0, 0.0, 0.0, 0.0], 393: [1.0, 0.0, 0.0, 0.0, 0.0], 398: [0.0, 1.0, 0.0, 0.0, 0.0], 399: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載2/距離10m/手前/不確認横断/resize.mov
