モデル名,検出した人数,"向きの回数(Front, Behind, Left, Right, None)",向きの割合[%],ファイルパス
yolo26n-pose,7,"{1: [137, 101, 0, 116, 65], 4: [2, 0, 0, 0, 0], 5: [2, 0, 0, 0, 0], 7: [5, 0, 0, 0, 0], 11: [0, 0, 0, 0, 2], 16: [0, 0, 0, 0, 6], 18: [0, 4, 1, 0, 0]}","{1: [0.327, 0.241, 0.0, 0.277, 0.155], 4: [1.0, 0.0, 0.0, 0.0, 0.0], 5: [1.0, 0.0, 0.0, 0.0, 0.0], 7: [1.0, 0.0, 0.0, 0.0, 0.0], 11: [0.0, 0.0, 0.0, 0.0, 1.0], 16: [0.0, 0.0, 0.0, 0.0, 1.0], 18: [0.0, 0.8, 0.2, 0.0, 0.0]}",data_yolo/移動/路側/距離5m/奥/確認横断/resize.mov
yolo26n-pose,1,"{28: [289, 236, 0, 12, 0]}","{28: [0.538, 0.439, 0.0, 0.022, 0.0]}",data_yolo/移動/路側/距離10m/奥/確認横断/resize.mov
yolo26n-pose,2,"{33: [0, 437, 0, 0, 4], 34: [0, 1, 0, 0, 0]}","{33: [0.0, 0.991, 0.0, 0.0, 0.009], 34: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離5m/手前/素通り/resize.mov
yolo26n-pose,1,"{36: [0, 14, 0, 0, 200]}","{36: [0.0, 0.065, 0.0, 0.0, 0.935]}",data_yolo/移動/車載1/距離5m/手前/確認横断/resize.mov
yolo26n-pose,3,"{41: [0, 587, 1, 0, 13], 42: [0, 7, 0, 0, 0], 43: [0, 3, 0, 0, 0]}","{41: [0.0, 0.977, 0.002, 0.0, 0.022], 42: [0.0, 1.0, 0.0, 0.0, 0.0], 43: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離5m/手前/停止素通り/resize.mov
yolo26n-pose,2,"{45: [0, 101, 0, 0, 6], 47: [0, 0, 0, 0, 4]}","{45: [0.0, 0.944, 0.0, 0.0, 0.056], 47: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/移動/車載1/距離5m/手前/走行横断/resize.mov
yolo26n-pose,2,"{48: [594, 0, 0, 0, 0], 52: [2, 0, 0, 0, 0]}","{48: [1.0, 0.0, 0.0, 0.0, 0.0], 52: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離5m/奥/素通り/resize.mov
yolo26n-pose,2,"{53: [797, 0, 0, 0, 0], 55: [4, 0, 0, 0, 0]}","{53: [1.0, 0.0, 0.0, 0.0, 0.0], 55: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離5m/奥/確認横断/resize.mov
yolo26n-pose,7,"{65: [504, 99, 57, 0, 0], 67: [0, 0, 0, 0, 4], 68: [0, 0, 0, 0, 3], 69: [0, 0, 0, 0, 1], 76: [0, 0, 0, 0, 3], 79: [0, 0, 0, 0, 1], 84: [0, 1, 0, 0, 0]}","{65: [0.764, 0.15, 0.086, 0.0, 0.0], 67: [0.0, 0.0, 0.0, 0.0, 1.0], 68: [0.0, 0.0, 0.0, 0.0, 1.0], 69: [0.0, 0.0, 0.0, 0.0, 1.0], 76: [0.0, 0.0, 0.0, 0.0, 1.0], 79: [0.0, 0.0, 0.0, 0.0, 1.0], 84: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離5m/奥/不確認横断/resize.mov
yolo26n-pose,2,"{86: [640, 0, 3, 0, 0], 89: [1, 0, 0, 0, 0]}","{86: [0.995, 0.0, 0.005, 0.0, 0.0], 89: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離5m/奥/停止素通り/resize.mov
