モデル名,フレーム数,FPS[/s],動画時間[s],処理時間[s],1フレームあたりの処理時間[ms],検出した人数,ファイルパス
yolo26n-pose,536,57.883,9.26,5.463,10.192,7,data_yolo/移動/路側/距離5m/奥/確認横断/resize.mov
yolo26n-pose,666,59.636,11.168,6.949,10.435,1,data_yolo/移動/路側/距離10m/奥/確認横断/resize.mov
yolo26n-pose,482,57.672,8.358,4.745,9.844,2,data_yolo/移動/車載1/距離5m/手前/素通り/resize.mov
yolo26n-pose,427,56.825,7.514,4.444,10.408,1,data_yolo/移動/車載1/距離5m/手前/確認横断/resize.mov
yolo26n-pose,641,57.882,11.074,6.27,9.781,3,data_yolo/移動/車載1/距離5m/手前/停止素通り/resize.mov
yolo26n-pose,144,51.807,2.78,1.522,10.57,2,data_yolo/移動/車載1/距離5m/手前/走行横断/resize.mov
yolo26n-pose,615,59.97,10.255,6.1,9.919,2,data_yolo/移動/車載1/距離5m/奥/素通り/resize.mov
yolo26n-pose,821,59.76,13.738,8.231,10.026,2,data_yolo/移動/車載1/距離5m/奥/確認横断/resize.mov
yolo26n-pose,688,60.0,11.467,7.295,10.603,7,data_yolo/移動/車載1/距離5m/奥/不確認横断/resize.mov
yolo26n-pose,670,59.149,11.327,6.786,10.128,2,data_yolo/移動/車載1/距離5m/奥/停止素通り/resize.mov
yolo26n-pose,297,56.953,5.215,2.937,9.89,3,data_yolo/移動/車載1/距離5m/奥/走行横断/resize.mov
yolo26n-pose,780,59.074,13.204,7.653,9.811,3,data_yolo/移動/車載1/距離15m/手前/素通り/resize.mov
yolo26n-pose,860,58.23,14.769,8.905,10.355,4,data_yolo/移動/車載1/距離15m/手前/確認横断/resize.mov
yolo26n-pose,775,59.437,13.039,7.778,10.036,2,data_yolo/移動/車載1/距離15m/手前/不確認横断/resize.mov
yolo26n-pose,962,59.455,16.18,9.975,10.369,2,data_yolo/移動/車載1/距離15m/手前/停止素通り/resize.mov
yolo26n-pose,345,58.012,5.947,3.424,9.925,1,data_yolo/移動/車載1/距離15m/手前/走行横断/resize.mov
yolo26n-pose,898,59.98,14.972,8.894,9.905,5,data_yolo/移動/車載1/距離10m/手前/素通り/resize.mov
yolo26n-pose,604,59.49,10.153,5.959,9.866,5,data_yolo/移動/車載1/距離10m/手前/確認横断/resize.mov
yolo26n-pose,578,58.699,9.847,5.95,10.294,5,data_yolo/移動/車載1/距離10m/手前/不確認横断/resize.mov
yolo26n-pose,961,58.453,16.441,9.613,10.004,5,data_yolo/移動/車載1/距離10m/手前/停止素通り/resize.mov
yolo26n-pose,285,58.654,4.859,2.969,10.418,1,data_yolo/移動/車載1/距離10m/手前/走行横断/resize.mov
yolo26n-pose,664,58.177,11.413,6.587,9.921,4,data_yolo/移動/車載1/距離10m/奥/素通り/resize.mov
yolo26n-pose,702,58.06,12.091,6.994,9.963,6,data_yolo/移動/車載1/距離10m/奥/確認横断/resize.mov
yolo26n-pose,682,58.752,11.608,6.801,9.972,6,data_yolo/移動/車載1/距離10m/奥/不確認横断/resize.mov
yolo26n-pose,761,58.687,12.967,7.556,9.929,2,data_yolo/移動/車載1/距離10m/奥/停止素通り/resize.mov
yolo26n-pose,358,57.085,6.271,3.759,10.501,2,data_yolo/移動/車載1/距離10m/奥/走行横断/resize.mov
yolo26n-pose,437,58.085,7.523,4.485,10.262,2,data_yolo/移動/車載2/距離5m/手前/素通り/resize.mov
yolo26n-pose,255,58.207,4.381,2.674,10.488,1,data_yolo/移動/車載2/距離5m/手前/確認横断/resize.mov
yolo26n-pose,263,55.664,4.725,2.632,10.007,1,data_yolo/移動/車載2/距離5m/手前/不確認横断/resize.mov
yolo26n-pose,671,59.973,11.188,6.687,9.966,3,data_yolo/移動/車載2/距離5m/手前/停止素通り/resize.mov
yolo26n-pose,142,54.14,2.623,1.414,9.959,1,data_yolo/移動/車載2/距離5m/手前/走行横断/resize.mov
yolo26n-pose,487,59.975,8.12,5.104,10.481,1,data_yolo/移動/車載2/距離5m/奥/素通り/resize.mov
yolo26n-pose,501,59.976,8.353,4.978,9.937,3,data_yolo/移動/車載2/距離5m/奥/確認横断/resize.mov
yolo26n-pose,583,59.98,9.72,6.088,10.442,4,data_yolo/移動/車載2/距離5m/奥/不確認横断/resize.mov
yolo26n-pose,594,60.06,9.89,5.924,9.972,2,data_yolo/移動/車載2/距離5m/奥/停止素通り/resize.mov
yolo26n-pose,284,60.021,4.732,2.829,9.961,2,data_yolo/移動/車載2/距離5m/奥/走行横断/resize.mov
yolo26n-pose,928,59.974,15.473,9.314,10.037,2,data_yolo/移動/車載2/距離10m/手前/素通り/resize.mov
yolo26n-pose,773,59.977,12.888,8.041,10.402,12,data_yolo/移動/車載2/距離10m/手前/確認横断/resize.mov
yolo26n-pose,591,58.567,10.091,6.056,10.246,5,data_yolo/移動/車載2/距離10m/手前/不確認横断/resize.mov
yolo26n-pose,1009,59.976,16.823,10.01,9.92,3,data_yolo/移動/車載2/距離10m/手前/停止素通り/resize.mov
yolo26n-pose,413,59.97,6.887,4.129,9.998,1,data_yolo/移動/車載2/距離10m/手前/走行横断/resize.mov
yolo26n-pose,671,59.973,11.188,6.891,10.27,3,data_yolo/移動/車載2/距離10m/奥/素通り/resize.mov
yolo26n-pose,575,59.98,9.587,5.873,10.215,4,data_yolo/移動/車載2/距離10m/奥/確認横断/resize.mov
yolo26n-pose,589,59.96,9.823,5.966,10.128,6,data_yolo/移動/車載2/距離10m/奥/不確認横断/resize.mov
yolo26n-pose,671,59.973,11.188,6.694,9.977,2,data_yolo/移動/車載2/距離10m/奥/停止素通り/resize.mov
yolo26n-pose,333,59.982,5.552,3.303,9.92,1,data_yolo/移動/車載2/距離10m/奥/走行横断/resize.mov
yolo26n-pose,151,54.724,2.759,1.481,9.81,1,data_yolo/停止/路側/距離5m/Behind/1回目/resize.mov
yolo26n-pose,246,57.292,4.294,2.616,10.636,6,data_yolo/停止/路側/距離5m/Behind/3回目/resize.mov
yolo26n-pose,240,54.789,4.38,2.444,10.185,9,data_yolo/停止/路側/距離5m/Behind/2回目/resize.mov
yolo26n-pose,163,57.873,2.817,1.598,9.801,1,data_yolo/停止/路側/距離5m/Right/1回目/resize.mov
yolo26n-pose,181,57.757,3.134,1.887,10.425,1,data_yolo/停止/路側/距離5m/Right/3回目/resize.mov
yolo26n-pose,178,58.984,3.018,1.865,10.476,1,data_yolo/停止/路側/距離5m/Right/2回目/resize.mov
yolo26n-pose,135,52.274,2.583,1.397,10.347,1,data_yolo/停止/路側/距離5m/Left/1回目/resize.mov
yolo26n-pose,203,57.335,3.541,2.015,9.924,2,data_yolo/停止/路側/距離5m/Left/3回目/resize.mov
yolo26n-pose,200,53.03,3.771,1.973,9.865,1,data_yolo/停止/路側/距離5m/Left/2回目/resize.mov
yolo26n-pose,241,57.96,4.158,2.367,9.823,7,data_yolo/停止/路側/距離5m/RightandCheck/1回目/resize.mov
yolo26n-pose,254,59.054,4.301,2.54,10.002,14,data_yolo/停止/路側/距離5m/RightandCheck/3回目/resize.mov
yolo26n-pose,229,58.476,3.916,2.249,9.822,10,data_yolo/停止/路側/距離5m/RightandCheck/2回目/resize.mov
yolo26n-pose,145,51.833,2.797,1.428,9.848,4,data_yolo/停止/路側/距離5m/Front/1回目/resize.mov
yolo26n-pose,199,53.763,3.701,2.066,10.382,3,data_yolo/停止/路側/距離5m/Front/3回目/resize.mov
yolo26n-pose,222,54.09,4.104,2.186,9.847,3,data_yolo/停止/路側/距離5m/Front/2回目/resize.mov
yolo26n-pose,167,53.592,3.116,1.67,9.997,3,data_yolo/停止/路側/距離10m/Behind/1回目/resize.mov
yolo26n-pose,169,56.515,2.99,1.783,10.55,1,data_yolo/停止/路側/距離10m/Behind/3回目/resize.mov
yolo26n-pose,233,56.966,4.09,2.326,9.982,11,data_yolo/停止/路側/距離10m/Behind/2回目/resize.mov
yolo26n-pose,148,53.515,2.766,1.481,10.01,1,data_yolo/停止/路側/距離10m/Right/1回目/resize.mov
yolo26n-pose,182,54.4,3.346,1.84,10.11,1,data_yolo/停止/路側/距離10m/Right/3回目/resize.mov
yolo26n-pose,195,53.392,3.652,1.942,9.959,1,data_yolo/停止/路側/距離10m/Right/2回目/resize.mov
yolo26n-pose,103,49.434,2.084,1.076,10.451,1,data_yolo/停止/路側/距離10m/Left/1回目/resize.mov
yolo26n-pose,225,54.155,4.155,2.302,10.231,1,data_yolo/停止/路側/距離10m/Left/3回目/resize.mov
yolo26n-pose,204,54.241,3.761,2.141,10.496,1,data_yolo/停止/路側/距離10m/Left/2回目/resize.mov
yolo26n-pose,219,58.34,3.754,2.305,10.527,2,data_yolo/停止/路側/距離10m/RightandCheck/1回目/resize.mov
yolo26n-pose,212,54.978,3.856,2.247,10.597,1,data_yolo/停止/路側/距離10m/RightandCheck/3回目/resize.mov
yolo26n-pose,222,55.809,3.978,2.234,10.063,1,data_yolo/停止/路側/距離10m/RightandCheck/2回目/resize.mov
yolo26n-pose,186,54.187,3.433,1.948,10.472,1,data_yolo/停止/路側/距離10m/Front/1回目/resize.mov
yolo26n-pose,202,55.612,3.632,2.115,10.472,1,data_yolo/停止/路側/距離10m/Front/3回目/resize.mov
yolo26n-pose,174,56.586,3.075,1.751,10.066,3,data_yolo/停止/路側/距離10m/Front/2回目/resize.mov
yolo26n-pose,216,59.972,3.602,2.252,10.427,1,data_yolo/停止/車載/距離5m/Behind/1回目/resize.mov
