モデル名,検出した人数,"向きの回数(Front, Behind, Left, Right, None)",向きの割合[%],ファイルパス
yolo26s-pose,2,"{1: [321, 18, 0, 146, 0], 2: [3, 0, 0, 0, 0]}","{1: [0.662, 0.037, 0.0, 0.301, 0.0], 2: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/路側/距離5m/奥/確認横断/resize.mov
yolo26s-pose,1,"{7: [281, 112, 0, 175, 0]}","{7: [0.495, 0.197, 0.0, 0.308, 0.0]}",data_yolo/移動/路側/距離10m/奥/確認横断/resize.mov
yolo26s-pose,1,"{9: [0, 439, 0, 0, 0]}","{9: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離5m/手前/素通り/resize.mov
yolo26s-pose,2,"{13: [14, 104, 0, 93, 1], 14: [0, 1, 0, 0, 0]}","{13: [0.066, 0.491, 0.0, 0.439, 0.005], 14: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離5m/手前/確認横断/resize.mov
yolo26s-pose,1,"{21: [0, 585, 14, 0, 0]}","{21: [0.0, 0.977, 0.023, 0.0, 0.0]}",data_yolo/移動/車載1/距離5m/手前/停止素通り/resize.mov
yolo26s-pose,1,"{23: [0, 70, 0, 38, 0]}","{23: [0.0, 0.648, 0.0, 0.352, 0.0]}",data_yolo/移動/車載1/距離5m/手前/走行横断/resize.mov
yolo26s-pose,1,"{24: [592, 0, 0, 0, 0]}","{24: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離5m/奥/素通り/resize.mov
yolo26s-pose,2,"{27: [674, 108, 0, 16, 0], 30: [0, 0, 0, 0, 1]}","{27: [0.845, 0.135, 0.0, 0.02, 0.0], 30: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/移動/車載1/距離5m/奥/確認横断/resize.mov
yolo26s-pose,1,"{31: [495, 149, 0, 28, 0]}","{31: [0.737, 0.222, 0.0, 0.042, 0.0]}",data_yolo/移動/車載1/距離5m/奥/不確認横断/resize.mov
yolo26s-pose,1,"{35: [639, 0, 0, 0, 0]}","{35: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離5m/奥/停止素通り/resize.mov
yolo26s-pose,1,"{37: [240, 22, 0, 3, 0]}","{37: [0.906, 0.083, 0.0, 0.011, 0.0]}",data_yolo/移動/車載1/距離5m/奥/走行横断/resize.mov
yolo26s-pose,1,"{38: [0, 691, 12, 0, 6]}","{38: [0.0, 0.975, 0.017, 0.0, 0.008]}",data_yolo/移動/車載1/距離15m/手前/素通り/resize.mov
yolo26s-pose,1,"{43: [29, 745, 0, 60, 0]}","{43: [0.035, 0.893, 0.0, 0.072, 0.0]}",data_yolo/移動/車載1/距離15m/手前/確認横断/resize.mov
yolo26s-pose,3,"{47: [63, 552, 20, 48, 6], 49: [0, 6, 0, 0, 0], 53: [0, 22, 0, 0, 0]}","{47: [0.091, 0.801, 0.029, 0.07, 0.009], 49: [0.0, 1.0, 0.0, 0.0, 0.0], 53: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離15m/手前/不確認横断/resize.mov
yolo26s-pose,1,"{57: [0, 787, 12, 0, 7]}","{57: [0.0, 0.976, 0.015, 0.0, 0.009]}",data_yolo/移動/車載1/距離15m/手前/停止素通り/resize.mov
yolo26s-pose,2,"{58: [20, 267, 0, 4, 2], 60: [0, 28, 0, 0, 0]}","{58: [0.068, 0.911, 0.0, 0.014, 0.007], 60: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離15m/手前/走行横断/resize.mov
yolo26s-pose,1,"{62: [0, 683, 10, 0, 9]}","{62: [0.0, 0.973, 0.014, 0.0, 0.013]}",data_yolo/移動/車載1/距離10m/手前/素通り/resize.mov
yolo26s-pose,1,"{64: [64, 470, 1, 22, 1]}","{64: [0.115, 0.842, 0.002, 0.039, 0.002]}",data_yolo/移動/車載1/距離10m/手前/確認横断/resize.mov
yolo26s-pose,2,"{68: [38, 435, 21, 54, 1], 72: [0, 1, 0, 0, 0]}","{68: [0.069, 0.792, 0.038, 0.098, 0.002], 72: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離10m/手前/不確認横断/resize.mov
yolo26s-pose,1,"{73: [0, 854, 5, 0, 2]}","{73: [0.0, 0.992, 0.006, 0.0, 0.002]}",data_yolo/移動/車載1/距離10m/手前/停止素通り/resize.mov
yolo26s-pose,1,"{78: [10, 238, 0, 9, 0]}","{78: [0.039, 0.926, 0.0, 0.035, 0.0]}",data_yolo/移動/車載1/距離10m/手前/走行横断/resize.mov
yolo26s-pose,1,"{84: [589, 0, 5, 0, 0]}","{84: [0.992, 0.0, 0.008, 0.0, 0.0]}",data_yolo/移動/車載1/距離10m/奥/素通り/resize.mov
yolo26s-pose,1,"{93: [400, 182, 0, 79, 0]}","{93: [0.605, 0.275, 0.0, 0.12, 0.0]}",data_yolo/移動/車載1/距離10m/奥/確認横断/resize.mov
yolo26s-pose,1,"{95: [387, 227, 0, 43, 0]}","{95: [0.589, 0.346, 0.0, 0.065, 0.0]}",data_yolo/移動/車載1/距離10m/奥/不確認横断/resize.mov
