モデル名,検出した人数,"向きの回数(Front, Behind, Left, Right, None)",向きの割合[%],ファイルパス
yolo26s-pose,2,"{1: [146, 163, 0, 2, 174], 2: [3, 0, 0, 0, 0]}","{1: [0.301, 0.336, 0.0, 0.004, 0.359], 2: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/路側/距離5m/奥/確認横断/resize.mov
yolo26s-pose,1,"{7: [260, 307, 0, 1, 0]}","{7: [0.458, 0.54, 0.0, 0.002, 0.0]}",data_yolo/移動/路側/距離10m/奥/確認横断/resize.mov
yolo26s-pose,1,"{9: [0, 426, 0, 0, 13]}","{9: [0.0, 0.97, 0.0, 0.0, 0.03]}",data_yolo/移動/車載1/距離5m/手前/素通り/resize.mov
yolo26s-pose,2,"{13: [0, 10, 0, 0, 202], 14: [0, 0, 0, 0, 1]}","{13: [0.0, 0.047, 0.0, 0.0, 0.953], 14: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/移動/車載1/距離5m/手前/確認横断/resize.mov
yolo26s-pose,1,"{21: [0, 589, 1, 0, 9]}","{21: [0.0, 0.983, 0.002, 0.0, 0.015]}",data_yolo/移動/車載1/距離5m/手前/停止素通り/resize.mov
yolo26s-pose,1,"{23: [0, 103, 0, 0, 5]}","{23: [0.0, 0.954, 0.0, 0.0, 0.046]}",data_yolo/移動/車載1/距離5m/手前/走行横断/resize.mov
yolo26s-pose,1,"{24: [592, 0, 0, 0, 0]}","{24: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離5m/奥/素通り/resize.mov
yolo26s-pose,2,"{27: [798, 0, 0, 0, 0], 30: [0, 0, 0, 0, 1]}","{27: [1.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/移動/車載1/距離5m/奥/確認横断/resize.mov
yolo26s-pose,1,"{31: [581, 90, 1, 0, 0]}","{31: [0.865, 0.134, 0.001, 0.0, 0.0]}",data_yolo/移動/車載1/距離5m/奥/不確認横断/resize.mov
yolo26s-pose,1,"{35: [639, 0, 0, 0, 0]}","{35: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離5m/奥/停止素通り/resize.mov
yolo26s-pose,1,"{37: [265, 0, 0, 0, 0]}","{37: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離5m/奥/走行横断/resize.mov
yolo26s-pose,1,"{38: [0, 699, 0, 0, 10]}","{38: [0.0, 0.986, 0.0, 0.0, 0.014]}",data_yolo/移動/車載1/距離15m/手前/素通り/resize.mov
yolo26s-pose,1,"{43: [0, 832, 0, 0, 2]}","{43: [0.0, 0.998, 0.0, 0.0, 0.002]}",data_yolo/移動/車載1/距離15m/手前/確認横断/resize.mov
yolo26s-pose,3,"{47: [0, 667, 0, 0, 22], 49: [0, 6, 0, 0, 0], 53: [0, 12, 0, 0, 10]}","{47: [0.0, 0.968, 0.0, 0.0, 0.032], 49: [0.0, 1.0, 0.0, 0.0, 0.0], 53: [0.0, 0.545, 0.0, 0.0, 0.455]}",data_yolo/移動/車載1/距離15m/手前/不確認横断/resize.mov
yolo26s-pose,1,"{57: [0, 793, 0, 0, 13]}","{57: [0.0, 0.984, 0.0, 0.0, 0.016]}",data_yolo/移動/車載1/距離15m/手前/停止素通り/resize.mov
yolo26s-pose,2,"{58: [0, 289, 0, 0, 4], 60: [0, 28, 0, 0, 0]}","{58: [0.0, 0.986, 0.0, 0.0, 0.014], 60: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離15m/手前/走行横断/resize.mov
