モデル名,フレーム数,FPS[/s],動画時間[s],処理時間[s],1フレームあたりの処理時間[ms],検出した人数,ファイルパス
yolo26s-pose,536,57.883,9.26,6.32,11.791,2,data_yolo/移動/路側/距離5m/奥/確認横断/resize.mov
yolo26s-pose,666,59.636,11.168,7.794,11.703,1,data_yolo/移動/路側/距離10m/奥/確認横断/resize.mov
yolo26s-pose,482,57.672,8.358,5.622,11.664,1,data_yolo/移動/車載1/距離5m/手前/素通り/resize.mov
yolo26s-pose,427,56.825,7.514,4.948,11.589,2,data_yolo/移動/車載1/距離5m/手前/確認横断/resize.mov
yolo26s-pose,641,57.882,11.074,7.519,11.729,1,data_yolo/移動/車載1/距離5m/手前/停止素通り/resize.mov
yolo26s-pose,144,51.807,2.78,1.685,11.702,1,data_yolo/移動/車載1/距離5m/手前/走行横断/resize.mov
yolo26s-pose,615,59.97,10.255,7.213,11.728,1,data_yolo/移動/車載1/距離5m/奥/素通り/resize.mov
yolo26s-pose,821,59.76,13.738,9.663,11.77,2,data_yolo/移動/車載1/距離5m/奥/確認横断/resize.mov
yolo26s-pose,688,60.0,11.467,8.092,11.762,1,data_yolo/移動/車載1/距離5m/奥/不確認横断/resize.mov
yolo26s-pose,670,59.149,11.327,7.806,11.65,1,data_yolo/移動/車載1/距離5m/奥/停止素通り/resize.mov
yolo26s-pose,297,56.953,5.215,3.46,11.649,1,data_yolo/移動/車載1/距離5m/奥/走行横断/resize.mov
yolo26s-pose,780,59.074,13.204,9.101,11.667,1,data_yolo/移動/車載1/距離15m/手前/素通り/resize.mov
yolo26s-pose,860,58.23,14.769,10.083,11.724,1,data_yolo/移動/車載1/距離15m/手前/確認横断/resize.mov
yolo26s-pose,775,59.437,13.039,9.046,11.672,3,data_yolo/移動/車載1/距離15m/手前/不確認横断/resize.mov
yolo26s-pose,962,59.455,16.18,11.207,11.649,1,data_yolo/移動/車載1/距離15m/手前/停止素通り/resize.mov
yolo26s-pose,345,58.012,5.947,4.059,11.766,2,data_yolo/移動/車載1/距離15m/手前/走行横断/resize.mov
yolo26s-pose,898,59.98,14.972,10.455,11.643,1,data_yolo/移動/車載1/距離10m/手前/素通り/resize.mov
yolo26s-pose,604,59.49,10.153,7.12,11.788,1,data_yolo/移動/車載1/距離10m/手前/確認横断/resize.mov
yolo26s-pose,578,58.699,9.847,6.829,11.815,2,data_yolo/移動/車載1/距離10m/手前/不確認横断/resize.mov
yolo26s-pose,961,58.453,16.441,11.299,11.758,1,data_yolo/移動/車載1/距離10m/手前/停止素通り/resize.mov
yolo26s-pose,285,58.654,4.859,3.335,11.701,1,data_yolo/移動/車載1/距離10m/手前/走行横断/resize.mov
yolo26s-pose,664,58.177,11.413,7.777,11.713,1,data_yolo/移動/車載1/距離10m/奥/素通り/resize.mov
yolo26s-pose,702,58.06,12.091,8.285,11.802,1,data_yolo/移動/車載1/距離10m/奥/確認横断/resize.mov
yolo26s-pose,682,58.752,11.608,7.991,11.717,1,data_yolo/移動/車載1/距離10m/奥/不確認横断/resize.mov
yolo26s-pose,761,58.687,12.967,8.901,11.697,1,data_yolo/移動/車載1/距離10m/奥/停止素通り/resize.mov
yolo26s-pose,358,57.085,6.271,4.218,11.783,1,data_yolo/移動/車載1/距離10m/奥/走行横断/resize.mov
yolo26s-pose,437,58.085,7.523,5.14,11.762,1,data_yolo/移動/車載2/距離5m/手前/素通り/resize.mov
yolo26s-pose,255,58.207,4.381,2.994,11.742,1,data_yolo/移動/車載2/距離5m/手前/確認横断/resize.mov
yolo26s-pose,263,55.664,4.725,3.102,11.794,1,data_yolo/移動/車載2/距離5m/手前/不確認横断/resize.mov
yolo26s-pose,671,59.973,11.188,7.832,11.672,2,data_yolo/移動/車載2/距離5m/手前/停止素通り/resize.mov
yolo26s-pose,142,54.14,2.623,1.674,11.792,1,data_yolo/移動/車載2/距離5m/手前/走行横断/resize.mov
yolo26s-pose,487,59.975,8.12,5.723,11.752,1,data_yolo/移動/車載2/距離5m/奥/素通り/resize.mov
yolo26s-pose,501,59.976,8.353,5.86,11.696,1,data_yolo/移動/車載2/距離5m/奥/確認横断/resize.mov
yolo26s-pose,583,59.98,9.72,6.813,11.686,2,data_yolo/移動/車載2/距離5m/奥/不確認横断/resize.mov
yolo26s-pose,594,60.06,9.89,6.961,11.718,2,data_yolo/移動/車載2/距離5m/奥/停止素通り/resize.mov
yolo26s-pose,284,60.021,4.732,3.335,11.744,1,data_yolo/移動/車載2/距離5m/奥/走行横断/resize.mov
yolo26s-pose,928,59.974,15.473,10.844,11.686,3,data_yolo/移動/車載2/距離10m/手前/素通り/resize.mov
yolo26s-pose,773,59.977,12.888,9.039,11.693,1,data_yolo/移動/車載2/距離10m/手前/確認横断/resize.mov
yolo26s-pose,591,58.567,10.091,6.935,11.734,2,data_yolo/移動/車載2/距離10m/手前/不確認横断/resize.mov
yolo26s-pose,1009,59.976,16.823,11.825,11.719,3,data_yolo/移動/車載2/距離10m/手前/停止素通り/resize.mov
yolo26s-pose,413,59.97,6.887,4.802,11.627,2,data_yolo/移動/車載2/距離10m/手前/走行横断/resize.mov
yolo26s-pose,671,59.973,11.188,7.87,11.729,1,data_yolo/移動/車載2/距離10m/奥/素通り/resize.mov
yolo26s-pose,575,59.98,9.587,6.729,11.703,1,data_yolo/移動/車載2/距離10m/奥/確認横断/resize.mov
yolo26s-pose,589,59.96,9.823,6.912,11.735,3,data_yolo/移動/車載2/距離10m/奥/不確認横断/resize.mov
yolo26s-pose,671,59.973,11.188,7.867,11.724,1,data_yolo/移動/車載2/距離10m/奥/停止素通り/resize.mov
yolo26s-pose,333,59.982,5.552,3.909,11.738,1,data_yolo/移動/車載2/距離10m/奥/走行横断/resize.mov
yolo26s-pose,151,54.724,2.759,1.784,11.814,1,data_yolo/停止/路側/距離5m/Behind/1回目/resize.mov
yolo26s-pose,246,57.292,4.294,2.889,11.742,1,data_yolo/停止/路側/距離5m/Behind/3回目/resize.mov
yolo26s-pose,240,54.789,4.38,2.818,11.74,1,data_yolo/停止/路側/距離5m/Behind/2回目/resize.mov
yolo26s-pose,163,57.873,2.817,1.901,11.663,3,data_yolo/停止/路側/距離5m/Right/1回目/resize.mov
yolo26s-pose,181,57.757,3.134,2.096,11.582,1,data_yolo/停止/路側/距離5m/Right/3回目/resize.mov
yolo26s-pose,178,58.984,3.018,2.092,11.752,2,data_yolo/停止/路側/距離5m/Right/2回目/resize.mov
yolo26s-pose,135,52.274,2.583,1.564,11.585,2,data_yolo/停止/路側/距離5m/Left/1回目/resize.mov
yolo26s-pose,203,57.335,3.541,2.39,11.776,4,data_yolo/停止/路側/距離5m/Left/3回目/resize.mov
yolo26s-pose,200,53.03,3.771,2.346,11.73,1,data_yolo/停止/路側/距離5m/Left/2回目/resize.mov
yolo26s-pose,241,57.96,4.158,2.822,11.709,1,data_yolo/停止/路側/距離5m/RightandCheck/1回目/resize.mov
yolo26s-pose,254,59.054,4.301,2.99,11.771,1,data_yolo/停止/路側/距離5m/RightandCheck/3回目/resize.mov
yolo26s-pose,229,58.476,3.916,2.668,11.651,1,data_yolo/停止/路側/距離5m/RightandCheck/2回目/resize.mov
yolo26s-pose,145,51.833,2.797,1.701,11.731,1,data_yolo/停止/路側/距離5m/Front/1回目/resize.mov
yolo26s-pose,199,53.763,3.701,2.328,11.7,1,data_yolo/停止/路側/距離5m/Front/3回目/resize.mov
yolo26s-pose,222,54.09,4.104,2.604,11.729,1,data_yolo/停止/路側/距離5m/Front/2回目/resize.mov
yolo26s-pose,167,53.592,3.116,1.963,11.757,1,data_yolo/停止/路側/距離10m/Behind/1回目/resize.mov
yolo26s-pose,169,56.515,2.99,1.98,11.715,1,data_yolo/停止/路側/距離10m/Behind/3回目/resize.mov
yolo26s-pose,233,56.966,4.09,2.739,11.757,1,data_yolo/停止/路側/距離10m/Behind/2回目/resize.mov
yolo26s-pose,148,53.515,2.766,1.735,11.724,1,data_yolo/停止/路側/距離10m/Right/1回目/resize.mov
yolo26s-pose,182,54.4,3.346,2.15,11.813,1,data_yolo/停止/路側/距離10m/Right/3回目/resize.mov
yolo26s-pose,195,53.392,3.652,2.299,11.788,1,data_yolo/停止/路側/距離10m/Right/2回目/resize.mov
yolo26s-pose,103,49.434,2.084,1.212,11.771,1,data_yolo/停止/路側/距離10m/Left/1回目/resize.mov
yolo26s-pose,225,54.155,4.155,2.66,11.823,1,data_yolo/停止/路側/距離10m/Left/3回目/resize.mov
yolo26s-pose,204,54.241,3.761,2.396,11.747,1,data_yolo/停止/路側/距離10m/Left/2回目/resize.mov
yolo26s-pose,219,58.34,3.754,2.578,11.772,2,data_yolo/停止/路側/距離10m/RightandCheck/1回目/resize.mov
yolo26s-pose,212,54.978,3.856,2.498,11.782,1,data_yolo/停止/路側/距離10m/RightandCheck/3回目/resize.mov
yolo26s-pose,222,55.809,3.978,2.629,11.842,1,data_yolo/停止/路側/距離10m/RightandCheck/2回目/resize.mov
yolo26s-pose,186,54.187,3.433,2.189,11.767,1,data_yolo/停止/路側/距離10m/Front/1回目/resize.mov
yolo26s-pose,202,55.612,3.632,2.377,11.766,1,data_yolo/停止/路側/距離10m/Front/3回目/resize.mov
yolo26s-pose,174,56.586,3.075,2.039,11.721,1,data_yolo/停止/路側/距離10m/Front/2回目/resize.mov
yolo26s-pose,216,59.972,3.602,2.535,11.735,1,data_yolo/停止/車載/距離5m/Behind/1回目/resize.mov
yolo26s-pose,200,59.97,3.335,2.343,11.714,1,data_yolo/停止/車載/距離5m/Behind/3回目/resize.mov
yolo26s-pose,230,60.0,3.833,2.718,11.816,1,data_yolo/停止/車載/距離5m/Behind/2回目/resize.mov
