モデル名,検出した人数,"向きの回数(Front, Behind, Left, Right, None)",向きの割合[%],ファイルパス
yolo26x-pose,2,"{1: [337, 17, 0, 141, 0], 3: [8, 0, 0, 0, 0]}","{1: [0.681, 0.034, 0.0, 0.285, 0.0], 3: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/路側/距離5m/奥/確認横断/resize.mov
yolo26x-pose,1,"{8: [263, 101, 0, 161, 0]}","{8: [0.501, 0.192, 0.0, 0.307, 0.0]}",data_yolo/移動/路側/距離10m/奥/確認横断/resize.mov
yolo26x-pose,1,"{12: [0, 437, 2, 0, 1]}","{12: [0.0, 0.993, 0.005, 0.0, 0.002]}",data_yolo/移動/車載1/距離5m/手前/素通り/resize.mov
yolo26x-pose,1,"{14: [0, 104, 0, 109, 2]}","{14: [0.0, 0.484, 0.0, 0.507, 0.009]}",data_yolo/移動/車載1/距離5m/手前/確認横断/resize.mov
yolo26x-pose,4,"{23: [0, 580, 20, 0, 12], 26: [0, 1, 0, 0, 0], 27: [0, 1, 0, 0, 0], 28: [0, 1, 0, 0, 0]}","{23: [0.0, 0.948, 0.033, 0.0, 0.02], 26: [0.0, 1.0, 0.0, 0.0, 0.0], 27: [0.0, 1.0, 0.0, 0.0, 0.0], 28: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離5m/手前/停止素通り/resize.mov
yolo26x-pose,1,"{32: [0, 76, 0, 33, 3]}","{32: [0.0, 0.679, 0.0, 0.295, 0.027]}",data_yolo/移動/車載1/距離5m/手前/走行横断/resize.mov
yolo26x-pose,2,"{34: [599, 0, 0, 0, 0], 35: [4, 0, 0, 0, 0]}","{34: [1.0, 0.0, 0.0, 0.0, 0.0], 35: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離5m/奥/素通り/resize.mov
yolo26x-pose,1,"{47: [621, 114, 0, 8, 0]}","{47: [0.836, 0.153, 0.0, 0.011, 0.0]}",data_yolo/移動/車載1/距離5m/奥/確認横断/resize.mov
yolo26x-pose,2,"{51: [450, 213, 5, 1, 0], 54: [0, 0, 0, 0, 2]}","{51: [0.673, 0.318, 0.007, 0.001, 0.0], 54: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/移動/車載1/距離5m/奥/不確認横断/resize.mov
yolo26x-pose,1,"{58: [616, 0, 0, 0, 0]}","{58: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離5m/奥/停止素通り/resize.mov
yolo26x-pose,1,"{62: [200, 24, 0, 4, 0]}","{62: [0.877, 0.105, 0.0, 0.018, 0.0]}",data_yolo/移動/車載1/距離5m/奥/走行横断/resize.mov
yolo26x-pose,2,"{67: [0, 601, 0, 0, 23], 70: [0, 7, 0, 0, 0]}","{67: [0.0, 0.963, 0.0, 0.0, 0.037], 70: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離15m/手前/素通り/resize.mov
yolo26x-pose,1,"{71: [59, 737, 0, 32, 12]}","{71: [0.07, 0.877, 0.0, 0.038, 0.014]}",data_yolo/移動/車載1/距離15m/手前/確認横断/resize.mov
yolo26x-pose,3,"{73: [45, 647, 13, 27, 7], 74: [0, 0, 0, 0, 4], 75: [0, 0, 0, 0, 1]}","{73: [0.061, 0.876, 0.018, 0.037, 0.009], 74: [0.0, 0.0, 0.0, 0.0, 1.0], 75: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/移動/車載1/距離15m/手前/不確認横断/resize.mov
yolo26x-pose,4,"{79: [0, 0, 0, 0, 1], 81: [0, 0, 0, 0, 4], 82: [0, 727, 0, 0, 26], 85: [0, 1, 0, 0, 0]}","{79: [0.0, 0.0, 0.0, 0.0, 1.0], 81: [0.0, 0.0, 0.0, 0.0, 1.0], 82: [0.0, 0.965, 0.0, 0.0, 0.035], 85: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離15m/手前/停止素通り/resize.mov
yolo26x-pose,1,"{86: [0, 331, 0, 0, 2]}","{86: [0.0, 0.994, 0.0, 0.0, 0.006]}",data_yolo/移動/車載1/距離15m/手前/走行横断/resize.mov
yolo26x-pose,2,"{89: [0, 658, 15, 0, 11], 92: [0, 0, 0, 0, 4]}","{89: [0.0, 0.962, 0.022, 0.0, 0.016], 92: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/移動/車載1/距離10m/手前/素通り/resize.mov
yolo26x-pose,1,"{96: [24, 488, 0, 31, 17]}","{96: [0.043, 0.871, 0.0, 0.055, 0.03]}",data_yolo/移動/車載1/距離10m/手前/確認横断/resize.mov
yolo26x-pose,1,"{99: [11, 526, 0, 13, 4]}","{99: [0.02, 0.949, 0.0, 0.023, 0.007]}",data_yolo/移動/車載1/距離10m/手前/不確認横断/resize.mov
yolo26x-pose,2,"{101: [0, 803, 0, 0, 18], 103: [0, 2, 0, 0, 0]}","{101: [0.0, 0.978, 0.0, 0.0, 0.022], 103: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離10m/手前/停止素通り/resize.mov
yolo26x-pose,1,"{104: [0, 263, 0, 0, 0]}","{104: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離10m/手前/走行横断/resize.mov
yolo26x-pose,1,"{115: [563, 0, 0, 0, 0]}","{115: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離10m/奥/素通り/resize.mov
yolo26x-pose,1,"{125: [392, 201, 0, 13, 0]}","{125: [0.647, 0.332, 0.0, 0.021, 0.0]}",data_yolo/移動/車載1/距離10m/奥/確認横断/resize.mov
yolo26x-pose,1,"{129: [342, 213, 0, 10, 0]}","{129: [0.605, 0.377, 0.0, 0.018, 0.0]}",data_yolo/移動/車載1/距離10m/奥/不確認横断/resize.mov
yolo26x-pose,1,"{133: [623, 0, 0, 0, 0]}","{133: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離10m/奥/停止素通り/resize.mov
yolo26x-pose,1,"{140: [123, 118, 0, 2, 0]}","{140: [0.506, 0.486, 0.0, 0.008, 0.0]}",data_yolo/移動/車載1/距離10m/奥/走行横断/resize.mov
yolo26x-pose,1,"{141: [0, 415, 0, 0, 12]}","{141: [0.0, 0.972, 0.0, 0.0, 0.028]}",data_yolo/移動/車載2/距離5m/手前/素通り/resize.mov
yolo26x-pose,1,"{147: [0, 187, 0, 22, 13]}","{147: [0.0, 0.842, 0.0, 0.099, 0.059]}",data_yolo/移動/車載2/距離5m/手前/確認横断/resize.mov
