モデル名,検出した人数,"向きの回数(Front, Behind, Left, Right, None)",向きの割合[%],ファイルパス
yolo26x-pose,2,"{1: [327, 0, 0, 0, 168], 3: [4, 0, 0, 0, 4]}","{1: [0.661, 0.0, 0.0, 0.0, 0.339], 3: [0.5, 0.0, 0.0, 0.0, 0.5]}",data_yolo/移動/路側/距離5m/奥/確認横断/resize.mov
yolo26x-pose,1,"{8: [505, 16, 0, 4, 0]}","{8: [0.962, 0.03, 0.0, 0.008, 0.0]}",data_yolo/移動/路側/距離10m/奥/確認横断/resize.mov
yolo26x-pose,1,"{12: [0, 429, 0, 0, 11]}","{12: [0.0, 0.975, 0.0, 0.0, 0.025]}",data_yolo/移動/車載1/距離5m/手前/素通り/resize.mov
yolo26x-pose,1,"{14: [0, 11, 0, 0, 204]}","{14: [0.0, 0.051, 0.0, 0.0, 0.949]}",data_yolo/移動/車載1/距離5m/手前/確認横断/resize.mov
yolo26x-pose,4,"{23: [0, 580, 0, 0, 32], 26: [0, 1, 0, 0, 0], 27: [0, 1, 0, 0, 0], 28: [0, 1, 0, 0, 0]}","{23: [0.0, 0.948, 0.0, 0.0, 0.052], 26: [0.0, 1.0, 0.0, 0.0, 0.0], 27: [0.0, 1.0, 0.0, 0.0, 0.0], 28: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離5m/手前/停止素通り/resize.mov
yolo26x-pose,1,"{32: [0, 32, 0, 0, 80]}","{32: [0.0, 0.286, 0.0, 0.0, 0.714]}",data_yolo/移動/車載1/距離5m/手前/走行横断/resize.mov
yolo26x-pose,2,"{34: [599, 0, 0, 0, 0], 35: [4, 0, 0, 0, 0]}","{34: [1.0, 0.0, 0.0, 0.0, 0.0], 35: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離5m/奥/素通り/resize.mov
yolo26x-pose,1,"{47: [743, 0, 0, 0, 0]}","{47: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離5m/奥/確認横断/resize.mov
yolo26x-pose,2,"{51: [669, 0, 0, 0, 0], 54: [0, 0, 0, 0, 2]}","{51: [1.0, 0.0, 0.0, 0.0, 0.0], 54: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/移動/車載1/距離5m/奥/不確認横断/resize.mov
yolo26x-pose,1,"{58: [616, 0, 0, 0, 0]}","{58: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離5m/奥/停止素通り/resize.mov
yolo26x-pose,1,"{62: [228, 0, 0, 0, 0]}","{62: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離5m/奥/走行横断/resize.mov
yolo26x-pose,2,"{67: [0, 601, 0, 0, 23], 70: [0, 7, 0, 0, 0]}","{67: [0.0, 0.963, 0.0, 0.0, 0.037], 70: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離15m/手前/素通り/resize.mov
yolo26x-pose,1,"{71: [0, 826, 0, 0, 14]}","{71: [0.0, 0.983, 0.0, 0.0, 0.017]}",data_yolo/移動/車載1/距離15m/手前/確認横断/resize.mov
yolo26x-pose,3,"{73: [0, 719, 0, 0, 20], 74: [0, 0, 0, 0, 4], 75: [0, 0, 0, 0, 1]}","{73: [0.0, 0.973, 0.0, 0.0, 0.027], 74: [0.0, 0.0, 0.0, 0.0, 1.0], 75: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/移動/車載1/距離15m/手前/不確認横断/resize.mov
yolo26x-pose,4,"{79: [0, 0, 0, 0, 1], 81: [0, 0, 0, 0, 4], 82: [0, 726, 0, 0, 27], 85: [0, 1, 0, 0, 0]}","{79: [0.0, 0.0, 0.0, 0.0, 1.0], 81: [0.0, 0.0, 0.0, 0.0, 1.0], 82: [0.0, 0.964, 0.0, 0.0, 0.036], 85: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離15m/手前/停止素通り/resize.mov
yolo26x-pose,1,"{86: [0, 329, 0, 0, 4]}","{86: [0.0, 0.988, 0.0, 0.0, 0.012]}",data_yolo/移動/車載1/距離15m/手前/走行横断/resize.mov
yolo26x-pose,2,"{89: [0, 658, 0, 0, 26], 92: [0, 0, 0, 0, 4]}","{89: [0.0, 0.962, 0.0, 0.0, 0.038], 92: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/移動/車載1/距離10m/手前/素通り/resize.mov
yolo26x-pose,1,"{96: [0, 543, 0, 0, 17]}","{96: [0.0, 0.97, 0.0, 0.0, 0.03]}",data_yolo/移動/車載1/距離10m/手前/確認横断/resize.mov
yolo26x-pose,1,"{99: [0, 536, 0, 0, 18]}","{99: [0.0, 0.968, 0.0, 0.0, 0.032]}",data_yolo/移動/車載1/距離10m/手前/不確認横断/resize.mov
yolo26x-pose,2,"{101: [0, 802, 0, 0, 19], 103: [0, 2, 0, 0, 0]}","{101: [0.0, 0.977, 0.0, 0.0, 0.023], 103: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離10m/手前/停止素通り/resize.mov
yolo26x-pose,1,"{104: [0, 252, 0, 0, 11]}","{104: [0.0, 0.958, 0.0, 0.0, 0.042]}",data_yolo/移動/車載1/距離10m/手前/走行横断/resize.mov
yolo26x-pose,1,"{115: [563, 0, 0, 0, 0]}","{115: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離10m/奥/素通り/resize.mov
yolo26x-pose,1,"{125: [579, 27, 0, 0, 0]}","{125: [0.955, 0.045, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離10m/奥/確認横断/resize.mov
yolo26x-pose,1,"{129: [565, 0, 0, 0, 0]}","{129: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離10m/奥/不確認横断/resize.mov
yolo26x-pose,1,"{133: [623, 0, 0, 0, 0]}","{133: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離10m/奥/停止素通り/resize.mov
yolo26x-pose,1,"{140: [243, 0, 0, 0, 0]}","{140: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載1/距離10m/奥/走行横断/resize.mov
yolo26x-pose,1,"{141: [0, 414, 0, 0, 13]}","{141: [0.0, 0.97, 0.0, 0.0, 0.03]}",data_yolo/移動/車載2/距離5m/手前/素通り/resize.mov
yolo26x-pose,1,"{147: [0, 39, 0, 0, 183]}","{147: [0.0, 0.176, 0.0, 0.0, 0.824]}",data_yolo/移動/車載2/距離5m/手前/確認横断/resize.mov
yolo26x-pose,2,"{150: [0, 23, 0, 0, 211], 151: [0, 0, 0, 0, 3]}","{150: [0.0, 0.098, 0.0, 0.0, 0.902], 151: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/移動/車載2/距離5m/手前/不確認横断/resize.mov
yolo26x-pose,1,"{154: [0, 495, 0, 0, 24]}","{154: [0.0, 0.954, 0.0, 0.0, 0.046]}",data_yolo/移動/車載2/距離5m/手前/停止素通り/resize.mov
yolo26x-pose,1,"{160: [0, 19, 0, 0, 94]}","{160: [0.0, 0.168, 0.0, 0.0, 0.832]}",data_yolo/移動/車載2/距離5m/手前/走行横断/resize.mov
yolo26x-pose,1,"{161: [471, 0, 0, 0, 0]}","{161: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載2/距離5m/奥/素通り/resize.mov
yolo26x-pose,1,"{163: [493, 0, 0, 0, 0]}","{163: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載2/距離5m/奥/確認横断/resize.mov
yolo26x-pose,2,"{166: [547, 0, 0, 0, 0], 169: [0, 0, 0, 0, 5]}","{166: [1.0, 0.0, 0.0, 0.0, 0.0], 169: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/移動/車載2/距離5m/奥/不確認横断/resize.mov
yolo26x-pose,1,"{170: [571, 0, 0, 0, 0]}","{170: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載2/距離5m/奥/停止素通り/resize.mov
yolo26x-pose,1,"{177: [279, 0, 0, 0, 0]}","{177: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載2/距離5m/奥/走行横断/resize.mov
yolo26x-pose,2,"{180: [0, 682, 0, 0, 23], 186: [24, 0, 0, 0, 0]}","{180: [0.0, 0.967, 0.0, 0.0, 0.033], 186: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載2/距離10m/手前/素通り/resize.mov
yolo26x-pose,2,"{187: [0, 578, 0, 0, 20], 188: [0, 0, 0, 0, 2]}","{187: [0.0, 0.967, 0.0, 0.0, 0.033], 188: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/移動/車載2/距離10m/手前/確認横断/resize.mov
yolo26x-pose,1,"{189: [0, 552, 0, 0, 16]}","{189: [0.0, 0.972, 0.0, 0.0, 0.028]}",data_yolo/移動/車載2/距離10m/手前/不確認横断/resize.mov
yolo26x-pose,2,"{194: [0, 701, 0, 0, 18], 204: [37, 0, 0, 0, 0]}","{194: [0.0, 0.975, 0.0, 0.0, 0.025], 204: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載2/距離10m/手前/停止素通り/resize.mov
yolo26x-pose,1,"{205: [0, 249, 0, 0, 11]}","{205: [0.0, 0.958, 0.0, 0.0, 0.042]}",data_yolo/移動/車載2/距離10m/手前/走行横断/resize.mov
yolo26x-pose,1,"{207: [625, 0, 0, 0, 0]}","{207: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載2/距離10m/奥/素通り/resize.mov
yolo26x-pose,1,"{213: [550, 0, 0, 0, 0]}","{213: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載2/距離10m/奥/確認横断/resize.mov
yolo26x-pose,1,"{218: [551, 0, 0, 0, 0]}","{218: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載2/距離10m/奥/不確認横断/resize.mov
yolo26x-pose,2,"{223: [630, 0, 0, 0, 0], 224: [1, 0, 0, 0, 0]}","{223: [1.0, 0.0, 0.0, 0.0, 0.0], 224: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載2/距離10m/奥/停止素通り/resize.mov
yolo26x-pose,1,"{226: [316, 0, 0, 0, 0]}","{226: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/移動/車載2/距離10m/奥/走行横断/resize.mov

yolo26x-pose,1,"{227: [0, 150, 0, 0, 0]}","{227: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/停止/路側/距離5m/Behind/1回目/resize.mov
yolo26x-pose,1,"{227: [0, 246, 0, 0, 0]}","{227: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/停止/路側/距離5m/Behind/3回目/resize.mov
yolo26x-pose,1,"{227: [0, 240, 0, 0, 0]}","{227: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/停止/路側/距離5m/Behind/2回目/resize.mov
yolo26x-pose,1,"{228: [0, 0, 0, 0, 162]}","{228: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/停止/路側/距離5m/Right/1回目/resize.mov
yolo26x-pose,1,"{228: [0, 0, 0, 0, 181]}","{228: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/停止/路側/距離5m/Right/3回目/resize.mov
yolo26x-pose,1,"{228: [0, 0, 0, 0, 178]}","{228: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/停止/路側/距離5m/Right/2回目/resize.mov
yolo26x-pose,1,"{228: [0, 0, 0, 0, 135]}","{228: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/停止/路側/距離5m/Left/1回目/resize.mov
yolo26x-pose,1,"{228: [0, 0, 0, 0, 203]}","{228: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/停止/路側/距離5m/Left/3回目/resize.mov
yolo26x-pose,1,"{228: [0, 0, 0, 0, 200]}","{228: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/停止/路側/距離5m/Left/2回目/resize.mov
yolo26x-pose,1,"{228: [0, 0, 0, 0, 241]}","{228: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/停止/路側/距離5m/RightandCheck/1回目/resize.mov
yolo26x-pose,1,"{228: [0, 0, 0, 0, 254]}","{228: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/停止/路側/距離5m/RightandCheck/3回目/resize.mov
yolo26x-pose,1,"{228: [0, 0, 0, 0, 229]}","{228: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/停止/路側/距離5m/RightandCheck/2回目/resize.mov
yolo26x-pose,1,"{228: [145, 0, 0, 0, 0]}","{228: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/停止/路側/距離5m/Front/1回目/resize.mov
yolo26x-pose,1,"{228: [199, 0, 0, 0, 0]}","{228: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/停止/路側/距離5m/Front/3回目/resize.mov
yolo26x-pose,1,"{228: [222, 0, 0, 0, 0]}","{228: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/停止/路側/距離5m/Front/2回目/resize.mov
yolo26x-pose,1,"{230: [0, 166, 0, 0, 0]}","{230: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/停止/路側/距離10m/Behind/1回目/resize.mov
yolo26x-pose,1,"{230: [0, 169, 0, 0, 0]}","{230: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/停止/路側/距離10m/Behind/3回目/resize.mov
yolo26x-pose,1,"{230: [0, 233, 0, 0, 0]}","{230: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/停止/路側/距離10m/Behind/2回目/resize.mov
yolo26x-pose,1,"{230: [0, 148, 0, 0, 0]}","{230: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/停止/路側/距離10m/Right/1回目/resize.mov
yolo26x-pose,1,"{230: [0, 103, 0, 0, 79]}","{230: [0.0, 0.566, 0.0, 0.0, 0.434]}",data_yolo/停止/路側/距離10m/Right/3回目/resize.mov
yolo26x-pose,1,"{230: [0, 0, 0, 0, 195]}","{230: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/停止/路側/距離10m/Right/2回目/resize.mov
yolo26x-pose,1,"{230: [0, 0, 0, 0, 103]}","{230: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/停止/路側/距離10m/Left/1回目/resize.mov
yolo26x-pose,1,"{230: [0, 0, 0, 0, 225]}","{230: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/停止/路側/距離10m/Left/3回目/resize.mov
yolo26x-pose,1,"{230: [0, 0, 0, 0, 204]}","{230: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/停止/路側/距離10m/Left/2回目/resize.mov
yolo26x-pose,2,"{230: [0, 0, 0, 0, 219], 239: [0, 15, 0, 0, 0]}","{230: [0.0, 0.0, 0.0, 0.0, 1.0], 239: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/停止/路側/距離10m/RightandCheck/1回目/resize.mov
yolo26x-pose,1,"{230: [0, 0, 0, 0, 212]}","{230: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/停止/路側/距離10m/RightandCheck/3回目/resize.mov
yolo26x-pose,1,"{230: [0, 0, 0, 0, 222]}","{230: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/停止/路側/距離10m/RightandCheck/2回目/resize.mov
yolo26x-pose,1,"{230: [186, 0, 0, 0, 0]}","{230: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/停止/路側/距離10m/Front/1回目/resize.mov
yolo26x-pose,4,"{230: [200, 0, 0, 0, 0], 249: [2, 0, 0, 0, 0], 252: [1, 0, 0, 0, 0], 255: [1, 0, 0, 0, 0]}","{230: [1.0, 0.0, 0.0, 0.0, 0.0], 249: [1.0, 0.0, 0.0, 0.0, 0.0], 252: [1.0, 0.0, 0.0, 0.0, 0.0], 255: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/停止/路側/距離10m/Front/3回目/resize.mov
yolo26x-pose,3,"{230: [172, 0, 0, 0, 0], 263: [3, 0, 0, 0, 0], 265: [1, 0, 0, 0, 0]}","{230: [1.0, 0.0, 0.0, 0.0, 0.0], 263: [1.0, 0.0, 0.0, 0.0, 0.0], 265: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/停止/路側/距離10m/Front/2回目/resize.mov
yolo26x-pose,1,"{270: [0, 215, 0, 0, 0]}","{270: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/停止/車載/距離5m/Behind/1回目/resize.mov
yolo26x-pose,1,"{270: [0, 200, 0, 0, 0]}","{270: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/停止/車載/距離5m/Behind/3回目/resize.mov
yolo26x-pose,1,"{270: [0, 230, 0, 0, 0]}","{270: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/停止/車載/距離5m/Behind/2回目/resize.mov
yolo26x-pose,4,"{270: [0, 0, 0, 0, 129], 271: [0, 0, 0, 0, 1], 272: [0, 0, 0, 0, 1], 273: [0, 0, 0, 0, 1]}","{270: [0.0, 0.0, 0.0, 0.0, 1.0], 271: [0.0, 0.0, 0.0, 0.0, 1.0], 272: [0.0, 0.0, 0.0, 0.0, 1.0], 273: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/停止/車載/距離5m/Right/1回目/resize.mov
yolo26x-pose,1,"{270: [0, 0, 0, 0, 255]}","{270: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/停止/車載/距離5m/Right/3回目/resize.mov
yolo26x-pose,1,"{270: [0, 0, 0, 0, 252]}","{270: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/停止/車載/距離5m/Right/2回目/resize.mov
yolo26x-pose,1,"{270: [0, 0, 0, 0, 177]}","{270: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/停止/車載/距離5m/Left/1回目/resize.mov
yolo26x-pose,1,"{270: [0, 0, 0, 0, 215]}","{270: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/停止/車載/距離5m/Left/3回目/resize.mov
yolo26x-pose,1,"{270: [0, 0, 0, 0, 221]}","{270: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/停止/車載/距離5m/Left/2回目/resize.mov
yolo26x-pose,1,"{284: [78, 187, 0, 2, 22]}","{284: [0.27, 0.647, 0.0, 0.007, 0.076]}",data_yolo/停止/車載/距離5m/RightandCheck/1回目/resize.mov
yolo26x-pose,1,"{284: [0, 0, 0, 0, 252]}","{284: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/停止/車載/距離5m/RightandCheck/3回目/resize.mov
yolo26x-pose,1,"{284: [0, 0, 0, 0, 237]}","{284: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/停止/車載/距離5m/RightandCheck/2回目/resize.mov
yolo26x-pose,1,"{285: [215, 0, 0, 0, 0]}","{285: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/停止/車載/距離5m/Front/1回目/resize.mov
yolo26x-pose,1,"{285: [208, 0, 0, 0, 0]}","{285: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/停止/車載/距離5m/Front/3回目/resize.mov
yolo26x-pose,1,"{285: [208, 0, 0, 0, 0]}","{285: [1.0, 0.0, 0.0, 0.0, 0.0]}",data_yolo/停止/車載/距離5m/Front/2回目/resize.mov
yolo26x-pose,1,"{286: [0, 207, 0, 0, 0]}","{286: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/停止/車載/距離10m/Behind/1回目/resize.mov
yolo26x-pose,1,"{286: [0, 208, 0, 0, 0]}","{286: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/停止/車載/距離10m/Behind/3回目/resize.mov
yolo26x-pose,1,"{286: [0, 212, 0, 0, 0]}","{286: [0.0, 1.0, 0.0, 0.0, 0.0]}",data_yolo/停止/車載/距離10m/Behind/2回目/resize.mov
yolo26x-pose,1,"{286: [0, 0, 0, 0, 210]}","{286: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/停止/車載/距離10m/Right/1回目/resize.mov
yolo26x-pose,1,"{286: [0, 0, 0, 0, 207]}","{286: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/停止/車載/距離10m/Right/3回目/resize.mov
yolo26x-pose,1,"{286: [0, 0, 0, 0, 219]}","{286: [0.0, 0.0, 0.0, 0.0, 1.0]}",data_yolo/停止/車載/距離10m/Right/2回目/resize.mov
