モデル名,フレーム数,FPS[/s],動画時間[s],処理時間[s],1フレームあたりの処理時間[ms],検出した人数,ファイルパス
yolo26x-pose,536,57.883,9.26,17.58,32.799,2,data_yolo/移動/路側/距離5m/奥/確認横断/resize.mov
yolo26x-pose,666,59.636,11.168,21.886,32.862,1,data_yolo/移動/路側/距離10m/奥/確認横断/resize.mov
yolo26x-pose,482,57.672,8.358,15.893,32.974,1,data_yolo/移動/車載1/距離5m/手前/素通り/resize.mov
yolo26x-pose,427,56.825,7.514,14.047,32.897,1,data_yolo/移動/車載1/距離5m/手前/確認横断/resize.mov
yolo26x-pose,641,57.882,11.074,21.147,32.991,4,data_yolo/移動/車載1/距離5m/手前/停止素通り/resize.mov
yolo26x-pose,144,51.807,2.78,4.753,33.005,1,data_yolo/移動/車載1/距離5m/手前/走行横断/resize.mov
yolo26x-pose,615,59.97,10.255,20.257,32.938,2,data_yolo/移動/車載1/距離5m/奥/素通り/resize.mov
yolo26x-pose,821,59.76,13.738,27.024,32.916,1,data_yolo/移動/車載1/距離5m/奥/確認横断/resize.mov
yolo26x-pose,688,60.0,11.467,22.694,32.986,2,data_yolo/移動/車載1/距離5m/奥/不確認横断/resize.mov
yolo26x-pose,670,59.149,11.327,22.092,32.973,1,data_yolo/移動/車載1/距離5m/奥/停止素通り/resize.mov
yolo26x-pose,297,56.953,5.215,9.794,32.976,1,data_yolo/移動/車載1/距離5m/奥/走行横断/resize.mov
yolo26x-pose,780,59.074,13.204,25.712,32.964,2,data_yolo/移動/車載1/距離15m/手前/素通り/resize.mov
yolo26x-pose,860,58.23,14.769,28.331,32.943,1,data_yolo/移動/車載1/距離15m/手前/確認横断/resize.mov
yolo26x-pose,775,59.437,13.039,25.587,33.015,3,data_yolo/移動/車載1/距離15m/手前/不確認横断/resize.mov
yolo26x-pose,962,59.455,16.18,31.708,32.961,4,data_yolo/移動/車載1/距離15m/手前/停止素通り/resize.mov
yolo26x-pose,345,58.012,5.947,11.393,33.023,1,data_yolo/移動/車載1/距離15m/手前/走行横断/resize.mov
yolo26x-pose,898,59.98,14.972,29.622,32.987,2,data_yolo/移動/車載1/距離10m/手前/素通り/resize.mov
yolo26x-pose,604,59.49,10.153,19.92,32.979,1,data_yolo/移動/車載1/距離10m/手前/確認横断/resize.mov
yolo26x-pose,578,58.699,9.847,19.052,32.961,1,data_yolo/移動/車載1/距離10m/手前/不確認横断/resize.mov
yolo26x-pose,961,58.453,16.441,31.688,32.974,2,data_yolo/移動/車載1/距離10m/手前/停止素通り/resize.mov
yolo26x-pose,285,58.654,4.859,9.375,32.893,1,data_yolo/移動/車載1/距離10m/手前/走行横断/resize.mov
yolo26x-pose,664,58.177,11.413,21.881,32.953,1,data_yolo/移動/車載1/距離10m/奥/素通り/resize.mov
yolo26x-pose,702,58.06,12.091,23.131,32.95,1,data_yolo/移動/車載1/距離10m/奥/確認横断/resize.mov
yolo26x-pose,682,58.752,11.608,22.464,32.939,1,data_yolo/移動/車載1/距離10m/奥/不確認横断/resize.mov
yolo26x-pose,761,58.687,12.967,25.054,32.923,1,data_yolo/移動/車載1/距離10m/奥/停止素通り/resize.mov
yolo26x-pose,358,57.085,6.271,11.785,32.918,1,data_yolo/移動/車載1/距離10m/奥/走行横断/resize.mov
yolo26x-pose,437,58.085,7.523,14.396,32.942,1,data_yolo/移動/車載2/距離5m/手前/素通り/resize.mov
yolo26x-pose,255,58.207,4.381,8.407,32.97,1,data_yolo/移動/車載2/距離5m/手前/確認横断/resize.mov
yolo26x-pose,263,55.664,4.725,8.668,32.958,2,data_yolo/移動/車載2/距離5m/手前/不確認横断/resize.mov
yolo26x-pose,671,59.973,11.188,22.111,32.953,1,data_yolo/移動/車載2/距離5m/手前/停止素通り/resize.mov
yolo26x-pose,142,54.14,2.623,4.679,32.951,1,data_yolo/移動/車載2/距離5m/手前/走行横断/resize.mov
yolo26x-pose,487,59.975,8.12,16.059,32.976,1,data_yolo/移動/車載2/距離5m/奥/素通り/resize.mov
yolo26x-pose,501,59.976,8.353,16.547,33.027,1,data_yolo/移動/車載2/距離5m/奥/確認横断/resize.mov
yolo26x-pose,583,59.98,9.72,19.204,32.94,2,data_yolo/移動/車載2/距離5m/奥/不確認横断/resize.mov
yolo26x-pose,594,60.06,9.89,19.594,32.986,1,data_yolo/移動/車載2/距離5m/奥/停止素通り/resize.mov
yolo26x-pose,284,60.021,4.732,9.369,32.991,1,data_yolo/移動/車載2/距離5m/奥/走行横断/resize.mov
yolo26x-pose,928,59.974,15.473,30.58,32.952,2,data_yolo/移動/車載2/距離10m/手前/素通り/resize.mov
yolo26x-pose,773,59.977,12.888,25.465,32.943,2,data_yolo/移動/車載2/距離10m/手前/確認横断/resize.mov
yolo26x-pose,591,58.567,10.091,19.499,32.994,1,data_yolo/移動/車載2/距離10m/手前/不確認横断/resize.mov
yolo26x-pose,1009,59.976,16.823,33.232,32.936,2,data_yolo/移動/車載2/距離10m/手前/停止素通り/resize.mov
yolo26x-pose,413,59.97,6.887,13.613,32.962,1,data_yolo/移動/車載2/距離10m/手前/走行横断/resize.mov
yolo26x-pose,671,59.973,11.188,22.152,33.013,1,data_yolo/移動/車載2/距離10m/奥/素通り/resize.mov
yolo26x-pose,575,59.98,9.587,19.014,33.068,1,data_yolo/移動/車載2/距離10m/奥/確認横断/resize.mov
yolo26x-pose,589,59.96,9.823,19.456,33.032,1,data_yolo/移動/車載2/距離10m/奥/不確認横断/resize.mov
yolo26x-pose,671,59.973,11.188,22.119,32.964,2,data_yolo/移動/車載2/距離10m/奥/停止素通り/resize.mov
yolo26x-pose,333,59.982,5.552,10.995,33.017,1,data_yolo/移動/車載2/距離10m/奥/走行横断/resize.mov
yolo26x-pose,151,54.724,2.759,4.99,33.046,1,data_yolo/停止/路側/距離5m/Behind/1回目/resize.mov
yolo26x-pose,246,57.292,4.294,8.136,33.074,1,data_yolo/停止/路側/距離5m/Behind/3回目/resize.mov
yolo26x-pose,240,54.789,4.38,7.924,33.019,1,data_yolo/停止/路側/距離5m/Behind/2回目/resize.mov
yolo26x-pose,163,57.873,2.817,5.384,33.033,1,data_yolo/停止/路側/距離5m/Right/1回目/resize.mov
